"Date","Price","Open","High","Low","Vol.","Change %"
"2024-02-23","3.8800","3.8955","3.9015","3.8430","","-0.44%"
"2024-02-22","3.8970","3.8805","3.9025","3.8660","","0.57%"
"2024-02-21","3.8750","3.8575","3.9085","3.8515","","0.19%"
"2024-02-20","3.8675","3.8195","3.8725","3.8000","133.06K","1.48%"
"2024-02-19","3.8110","3.8167","3.8293","3.8033","","-0.15%"
"2024-02-18","3.8167","3.8220","3.8222","3.8098","","-0.57%"
"2024-02-16","3.8385","3.7595","3.8440","3.7550","","2.14%"
"2024-02-15","3.7580","3.7045","3.7615","3.7000","","1.57%"
"2024-02-14","3.7000","3.7090","3.7255","3.6895","","-0.30%"
"2024-02-13","3.7110","3.7215","3.7545","3.7030","","-0.35%"
"2024-02-12","3.7240","3.6895","3.7260","3.6670","","1.15%"
"2024-02-09","3.6815","3.7080","3.7130","3.6550","","-0.55%"
"2024-02-08","3.7020","3.7355","3.7630","3.6790","","-0.90%"
"2024-02-07","3.7355","3.7840","3.7950","3.7315","","-1.26%"
"2024-02-06","3.7830","3.7690","3.7973","3.7668","","0.30%"
"2024-02-05","3.7715","3.8190","3.8330","3.7635","","-1.31%"
"2024-02-02","3.8215","3.8545","3.8625","3.8165","","-0.83%"
"2024-02-01","3.8535","3.8965","3.8975","3.8450","","-1.34%"
"2024-01-31","3.9060","3.9135","3.9470","3.8835","","-0.13%"
"2024-01-30","3.9110","3.8850","3.9170","3.8605","","0.82%"
"2024-01-29","3.8790","3.8530","3.8900","3.8275","","0.70%"
"2024-01-26","3.8520","3.8680","3.8865","3.8450","","-0.44%"
"2024-01-25","3.8690","3.8735","3.8935","3.8585","","-0.44%"
"2024-01-24","3.8860","3.8060","3.8880","3.7950","","2.44%"
"2024-01-23","3.7935","3.7485","3.8085","3.7475","","0.80%"
"2024-01-22","3.7635","3.7895","3.7915","3.7440","","-0.61%"
"2024-01-19","3.7865","3.7565","3.7920","3.7430","","1.11%"
"2024-01-18","3.7450","3.7440","3.7590","3.7145","","0.32%"
"2024-01-17","3.7330","3.7700","3.7705","3.7225","","-0.89%"
"2024-01-16","3.7665","3.7450","3.7900","3.7440","","-0.31%"
"2024-01-15","3.7782","3.7508","3.7888","3.7468","","0.74%"
"2024-01-14","3.7503","3.7452","3.7513","3.7452","","0.26%"
"2024-01-12","3.7405","3.7910","3.8190","3.7350","","-0.95%"
"2024-01-11","3.7765","3.7870","3.8240","3.7685","","-0.12%"
"2024-01-10","3.7810","3.7630","3.7930","3.7540","","0.60%"
"2024-01-09","3.7585","3.8235","3.8405","3.7570","","-1.35%"
"2024-01-08","3.8100","3.8075","3.8330","3.7895","","0.11%"
"2024-01-05","3.8060","3.8495","3.8660","3.8010","","-0.99%"
"2024-01-04","3.8440","3.8745","3.8845","3.8175","","-0.45%"
"2024-01-03","3.8615","3.8715","3.8790","3.8310","","-0.49%"
"2024-01-02","3.8805","3.8955","3.9120","3.8610","","-0.47%"
"2024-01-01","3.8988","3.8915","3.8998","3.8915","","0.19%"
"2023-12-29","3.8915","3.9125","3.9352","3.8782","","-0.84%"
"2023-12-28","3.9245","3.9560","3.9670","3.9130","","-0.80%"
"2023-12-27","3.9560","3.9020","3.9737","3.8992","","1.38%"
"2023-12-26","3.9020","3.9050","3.9435","3.8970","38.00K","-0.16%"
"2023-12-25","3.9082","3.9010","3.9097","3.9010","","0.08%"
"2023-12-22","3.9050","3.9250","3.9395","3.8920","54.14K","-0.32%"
"2023-12-21","3.9175","3.8845","3.9315","3.8795","70.08K","0.29%"
"2023-12-20","3.9060","3.9075","3.9450","3.8790","66.32K","0.21%"
"2023-12-19","3.8980","3.8480","3.9305","3.8410","84.95K","1.19%"
"2023-12-18","3.8520","3.8830","3.8915","3.8450","54.99K","-0.99%"
"2023-12-15","3.8905","3.8740","3.9165","3.8485","73.67K","-0.05%"
"2023-12-14","3.8925","3.8350","3.9095","3.8270","107.54K","2.77%"
"2023-12-13","3.7875","3.7925","3.8395","3.7530","62.86K","0.00%"
"2023-12-12","3.7875","3.7850","3.8125","3.7665","69.52K","0.19%"
"2023-12-11","3.7805","3.8305","3.8360","3.7755","66.61K","-1.31%"
"2023-12-08","3.8305","3.7980","3.8640","3.7880","89.40K","0.87%"
"2023-12-07","3.7975","3.7315","3.8005","3.7305","78.53K","1.69%"
