"Date","Price","Open","High","Low","Vol.","Change %"
"2024-02-23","1.603","1.722","1.722","1.581","","-7.45%"
"2024-02-22","1.732","1.784","1.784","1.661","87.80K","-2.31%"
"2024-02-21","1.773","1.719","1.792","1.677","170.66K","12.50%"
"2024-02-20","1.576","1.533","1.709","1.522","201.47K","1.16%"
"2024-02-19","1.558","1.552","1.583","1.540","","0.45%"
"2024-02-18","1.551","1.527","1.565","1.527","","-3.60%"
"2024-02-16","1.609","1.589","1.637","1.575","170.38K","1.77%"
"2024-02-15","1.581","1.611","1.669","1.573","183.34K","-1.74%"
"2024-02-14","1.609","1.669","1.685","1.590","208.96K","-4.74%"
"2024-02-13","1.689","1.754","1.786","1.654","286.59K","-4.47%"
"2024-02-12","1.768","1.805","1.863","1.732","242.15K","-4.28%"
"2024-02-09","1.847","1.885","1.885","1.817","247.31K","-3.65%"
"2024-02-08","1.917","1.970","1.993","1.867","237.17K","-2.54%"
"2024-02-07","1.967","2.003","2.040","1.956","204.06K","-2.09%"
"2024-02-06","2.009","2.068","2.102","1.997","137.68K","-3.51%"
"2024-02-05","2.082","2.110","2.127","2.041","136.03K","0.14%"
"2024-02-02","2.079","2.054","2.100","2.021","125.06K","1.41%"
"2024-02-01","2.050","2.134","2.168","2.033","161.34K","-2.38%"
"2024-01-31","2.100","2.090","2.158","2.037","142.86K","1.11%"
"2024-01-30","2.077","2.060","2.119","2.046","139.75K","-16.59%"
"2024-01-29","2.490","2.680","2.760","2.411","3.59K","-8.19%"
"2024-01-26","2.712","2.607","2.804","2.424","73.02K","5.48%"
"2024-01-25","2.571","2.683","2.884","2.526","44.98K","-2.65%"
"2024-01-24","2.641","2.498","2.696","2.495","65.50K","7.80%"
"2024-01-23","2.450","2.437","2.494","2.325","69.16K","1.28%"
"2024-01-22","2.419","2.380","2.470","2.311","121.58K","-3.97%"
"2024-01-19","2.519","2.712","2.714","2.514","138.43K","-6.60%"
"2024-01-18","2.697","2.876","2.960","2.666","151.82K","-6.03%"
"2024-01-17","2.870","2.843","2.958","2.756","150.33K","-1.03%"
"2024-01-16","2.900","3.113","3.189","2.822","228.16K","-5.41%"
"2024-01-15","3.066","3.112","3.188","3.055","","-1.45%"
"2024-01-14","3.111","3.104","3.137","3.077","","-6.10%"
"2024-01-12","3.313","3.118","3.377","3.102","265.88K","6.97%"
"2024-01-11","3.097","3.029","3.231","2.945","235.03K","1.91%"
"2024-01-10","3.039","3.167","3.226","2.956","258.01K","-4.73%"
"2024-01-09","3.190","2.943","3.392","2.884","351.78K","7.05%"
"2024-01-08","2.980","2.950","3.012","2.694","237.67K","3.01%"
"2024-01-05","2.893","2.845","2.906","2.681","187.50K","2.55%"
"2024-01-04","2.821","2.688","2.863","2.681","206.31K","5.73%"
"2024-01-03","2.668","2.575","2.719","2.537","166.47K","3.89%"
"2024-01-02","2.568","2.605","2.675","2.524","132.45K","-3.71%"
"2024-01-01","2.667","2.614","2.670","2.614","","6.09%"
"2023-12-29","2.514","2.539","2.561","2.489","89.60K","-1.68%"
"2023-12-28","2.557","2.455","2.576","2.412","116.06K","-2.37%"
"2023-12-27","2.619","2.580","2.722","2.562","3.93K","2.71%"
"2023-12-26","2.550","2.545","2.581","2.454","50.76K","5.46%"
"2023-12-25","2.418","2.425","2.442","2.415","","-7.36%"
"2023-12-22","2.610","2.584","2.620","2.528","42.84K","1.48%"
"2023-12-21","2.572","2.427","2.604","2.408","84.55K","5.11%"
"2023-12-20","2.447","2.557","2.590","2.410","125.26K","-1.81%"
"2023-12-19","2.492","2.519","2.565","2.385","170.44K","-0.44%"
"2023-12-18","2.503","2.503","2.597","2.488","154.30K","0.48%"
"2023-12-15","2.491","2.408","2.544","2.380","189.24K","4.14%"
"2023-12-14","2.392","2.353","2.422","2.328","159.49K","2.44%"
"2023-12-13","2.335","2.278","2.385","2.235","255.19K","1.04%"
"2023-12-12","2.311","2.438","2.461","2.276","223.46K","-1.66%"
"2023-12-11","2.350","2.408","2.417","2.217","144.30K","-6.15%"
"2023-12-08","2.504","2.487","2.534","2.459","88.30K","-0.63%"
"2023-12-07","2.520","2.522","2.555","2.436","125.25K","0.12%"
"2023-12-06","2.517","2.658","2.707","2.492","82.95K","-5.62%"
"2023-12-05","2.667","2.655","2.738","2.632","42.49K","0.60%"
"2023-12-04","2.651","2.685","2.704","2.608","53.83K","-4.40%"
"2023-12-01","2.773","2.770","2.801","2.712","48.47K","-1.03%"
"2023-11-30","2.802","2.799","2.855","2.761","147.75K","-0.07%"
"2023-11-29","2.804","2.792","2.870","2.760","141.59K","3.62%"
"2023-11-28","2.706","2.790","2.815","2.669","4.14K","-3.15%"
"2023-11-27","2.794","2.778","2.820","2.709","67.04K","-2.14%"
"2023-11-24","2.855","2.897","2.951","2.798","34.12K","-2.56%"
"2023-11-23","2.930","2.880","2.938","2.861","","1.14%"
"2023-11-22","2.897","2.867","2.922","2.819","59.22K","1.79%"
"2023-11-21","2.846","2.886","2.921","2.841","103.67K","-1.25%"
"2023-11-20","2.882","2.957","2.958","2.864","113.70K","-7.95%"
"2023-11-17","3.131","3.227","3.275","3.068","146.65K","-3.33%"
"2023-11-16","3.239","3.326","3.407","3.188","166.40K","-3.66%"
"2023-11-15","3.362","3.316","3.448","3.269","109.45K","8.24%"
"2023-11-14","3.106","3.233","3.264","3.086","146.72K","-2.85%"
"2023-11-13","3.197","3.064","3.246","3.061","165.65K","5.41%"
"2023-11-10","3.033","3.038","3.077","2.989","106.72K","-0.26%"
"2023-11-09","3.041","3.122","3.162","3.022","142.58K","-2.09%"
"2023-11-08","3.106","3.176","3.188","3.058","172.75K","-1.08%"
"2023-11-07","3.140","3.273","3.295","3.099","186.18K","-3.80%"
"2023-11-06","3.264","3.373","3.407","3.249","185.74K","-7.14%"
"2023-11-03","3.515","3.510","3.576","3.452","110.11K","1.24%"
"2023-11-02","3.472","3.506","3.520","3.401","118.51K","-0.63%"
"2023-11-01","3.494","3.600","3.608","3.428","151.26K","-2.27%"
"2023-10-31","3.575","3.330","3.630","3.318","238.33K","6.65%"
"2023-10-30","3.352","3.400","3.405","3.321","119.53K","5.94%"
"2023-10-27","3.164","3.251","3.401","3.136","4.09K","-1.56%"
"2023-10-26","3.214","3.028","3.279","2.977","88.61K","6.78%"
"2023-10-25","3.010","2.975","3.034","2.954","31.46K","1.31%"
"2023-10-24","2.971","2.918","2.997","2.876","65.43K","1.54%"
"2023-10-23","2.926","2.905","2.951","2.861","99.13K","0.93%"
"2023-10-20","2.899","2.959","2.977","2.880","144.04K","-1.96%"
"2023-10-19","2.957","3.072","3.092","2.943","138.65K","-3.24%"
"2023-10-18","3.056","3.061","3.158","3.037","122.85K","-0.75%"
"2023-10-17","3.079","3.124","3.137","3.024","133.59K","-0.96%"
"2023-10-16","3.109","3.185","3.185","3.053","165.02K","-3.92%"
"2023-10-13","3.236","3.346","3.348","3.203","139.19K","-3.23%"
"2023-10-12","3.344","3.385","3.428","3.299","160.32K","-0.98%"
"2023-10-11","3.377","3.405","3.454","3.225","211.41K","-0.15%"
"2023-10-10","3.382","3.371","3.449","3.336","170.10K","0.18%"
"2023-10-09","3.376","3.350","3.471","3.322","208.30K","1.14%"
"2023-10-06","3.338","3.183","3.364","3.166","248.00K","5.43%"
"2023-10-05","3.166","2.988","3.205","2.965","220.41K","6.89%"
"2023-10-04","2.962","2.940","3.055","2.935","155.57K","0.44%"
"2023-10-03","2.949","2.842","2.966","2.820","128.58K","3.84%"
"2023-10-02","2.840","2.958","2.958","2.835","124.34K","-3.04%"
"2023-09-29","2.929","2.949","2.997","2.855","114.66K","-0.54%"
"2023-09-28","2.945","2.891","2.981","2.868","123.67K","6.55%"
"2023-09-27","2.764","2.656","2.781","2.640","1.88K","4.07%"
"2023-09-26","2.656","2.638","2.667","2.552","57.09K","0.64%"
"2023-09-25","2.639","2.657","2.671","2.606","36.18K","0.08%"
"2023-09-22","2.637","2.624","2.683","2.602","52.64K","1.03%"
"2023-09-21","2.610","2.732","2.759","2.595","99.97K","-4.50%"
"2023-09-20","2.733","2.819","2.824","2.693","140.31K","-4.04%"
"2023-09-19","2.848","2.729","2.872","2.710","164.81K","4.40%"
"2023-09-18","2.728","2.624","2.745","2.600","128.31K","3.18%"
"2023-09-15","2.644","2.704","2.736","2.637","127.78K","-2.36%"
"2023-09-14","2.708","2.715","2.823","2.697","154.08K","1.04%"
"2023-09-13","2.680","2.747","2.777","2.640","191.71K","-2.30%"
"2023-09-12","2.743","2.620","2.782","2.604","202.19K","5.18%"
"2023-09-11","2.608","2.610","2.639","2.541","110.88K","0.12%"
"2023-09-08","2.605","2.579","2.659","2.572","101.23K","1.01%"
"2023-09-07","2.579","2.516","2.614","2.500","140.33K","2.75%"
"2023-09-06","2.510","2.584","2.614","2.503","116.66K","-2.79%"
"2023-09-05","2.582","2.700","2.708","2.566","178.33K","-2.46%"
"2023-09-04","2.647","2.671","2.708","2.642","","-0.90%"
"2023-09-03","2.671","2.692","2.694","2.652","","-3.40%"
"2023-09-01","2.765","2.765","2.860","2.735","127.25K","-0.11%"
"2023-08-31","2.768","2.803","2.865","2.708","176.02K","-1.00%"
"2023-08-30","2.796","2.680","2.813","2.647","146.88K","9.39%"
"2023-08-29","2.556","2.579","2.599","2.515","2.35K","-0.89%"
"2023-08-28","2.579","2.635","2.695","2.544","58.22K","1.54%"
"2023-08-25","2.540","2.517","2.555","2.468","31.33K","0.83%"
"2023-08-24","2.519","2.484","2.565","2.425","76.08K","0.88%"
"2023-08-23","2.497","2.560","2.590","2.473","93.84K","-2.46%"
"2023-08-22","2.560","2.618","2.636","2.540","111.97K","-2.74%"
"2023-08-21","2.632","2.560","2.660","2.555","102.63K","3.18%"
"2023-08-18","2.551","2.623","2.636","2.524","128.03K","-2.67%"
"2023-08-17","2.621","2.605","2.670","2.575","119.54K","1.12%"
"2023-08-16","2.592","2.664","2.674","2.568","142.52K","-2.52%"
"2023-08-15","2.659","2.810","2.863","2.647","158.89K","-4.87%"
"2023-08-14","2.795","2.776","2.827","2.749","93.50K","0.90%"
"2023-08-11","2.770","2.780","2.833","2.701","163.96K","0.25%"
"2023-08-10","2.763","2.974","2.998","2.747","230.51K","-6.62%"
"2023-08-09","2.959","2.797","3.018","2.771","312.25K","6.55%"
"2023-08-08","2.777","2.735","2.801","2.692","186.80K","1.91%"
"2023-08-07","2.725","2.579","2.754","2.571","228.91K","5.74%"
"2023-08-04","2.577","2.556","2.619","2.529","104.01K","0.47%"
"2023-08-03","2.565","2.484","2.586","2.474","139.15K","3.55%"
"2023-08-02","2.477","2.578","2.581","2.457","147.61K","-3.24%"
"2023-08-01","2.560","2.644","2.675","2.531","135.52K","-2.81%"
"2023-07-31","2.634","2.659","2.693","2.605","97.88K","-0.15%"
"2023-07-28","2.638","2.602","2.685","2.564","136.51K","5.86%"
"2023-07-27","2.492","2.627","2.650","2.463","2.42K","-6.49%"
"2023-07-26","2.665","2.720","2.739","2.625","37.31K","-2.38%"
"2023-07-25","2.730","2.703","2.754","2.656","35.55K","1.68%"
"2023-07-24","2.685","2.721","2.767","2.664","54.17K","-0.81%"
"2023-07-21","2.707","2.718","2.759","2.684","103.19K","-0.88%"
"2023-07-20","2.731","2.611","2.759","2.599","147.71K","5.65%"
"2023-07-19","2.585","2.612","2.642","2.570","81.16K","-1.26%"
"2023-07-18","2.618","2.529","2.634","2.522","101.52K","4.55%"
"2023-07-17","2.504","2.541","2.569","2.477","90.91K","-1.03%"
"2023-07-14","2.530","2.545","2.592","2.487","115.68K","-0.16%"
"2023-07-13","2.534","2.622","2.631","2.528","120.19K","-2.43%"
"2023-07-12","2.597","2.697","2.712","2.586","99.29K","-4.91%"
"2023-07-11","2.731","2.667","2.748","2.630","130.58K","2.32%"
"2023-07-10","2.669","2.570","2.692","2.570","124.50K","3.37%"
"2023-07-07","2.582","2.635","2.675","2.536","103.59K","-1.03%"
"2023-07-06","2.609","2.652","2.687","2.586","109.30K","-1.81%"
"2023-07-05","2.657","2.699","2.793","2.648","124.91K","-3.42%"
"2023-07-04","2.751","2.689","2.758","2.662","","1.55%"
"2023-07-03","2.709","2.729","2.746","2.670","79.62K","-3.18%"
"2023-06-30","2.798","2.677","2.828","2.634","147.27K","3.59%"
"2023-06-29","2.701","2.662","2.746","2.616","118.61K","3.76%"
"2023-06-28","2.603","2.788","2.839","2.593","1.32K","-5.79%"
"2023-06-27","2.763","2.777","2.809","2.724","71.15K","-1.00%"
"2023-06-26","2.791","2.758","2.816","2.720","31.60K","2.27%"
"2023-06-23","2.729","2.612","2.740","2.520","84.43K","4.64%"
"2023-06-22","2.608","2.590","2.632","2.529","109.16K","0.42%"
