"Date","Price","Open","High","Low","Vol.","Change %"
"2024-02-23","111.42","111.65","111.82","111.24","","-0.20%"
"2024-02-22","111.64","111.29","111.75","111.25","","0.33%"
"2024-02-21","111.27","110.92","111.35","110.83","","0.34%"
"2024-02-20","110.89","111.29","111.47","110.67","","-0.34%"
"2024-02-19","111.27","111.39","111.44","111.18","","-0.09%"
"2024-02-16","111.37","111.34","111.64","111.29","","0.04%"
"2024-02-15","111.32","111.19","111.40","110.64","","0.14%"
"2024-02-14","111.16","111.18","111.36","110.91","","0.02%"
"2024-02-13","111.14","111.03","111.42","110.82","","0.12%"
"2024-02-12","111.01","110.92","111.21","110.56","","0.08%"
"2024-02-09","110.92","110.92","111.35","110.79","","0.01%"
"2024-02-08","110.91","110.07","111.06","109.91","","0.77%"
"2024-02-07","110.06","109.65","110.18","109.54","","0.38%"
"2024-02-06","109.64","109.81","109.99","109.44","","-0.13%"
"2024-02-05","109.78","110.19","110.40","109.74","","-0.38%"
"2024-02-02","110.20","109.39","110.39","109.32","","0.77%"
"2024-02-01","109.36","109.35","109.53","108.80","","0.03%"
"2024-01-31","109.33","110.17","110.23","109.11","","-0.75%"
"2024-01-30","110.16","109.96","110.29","109.64","","0.22%"
"2024-01-29","109.92","110.11","110.24","109.69","","-0.18%"
"2024-01-26","110.12","109.58","110.25","109.43","","0.50%"
"2024-01-25","109.57","109.08","109.71","108.92","","0.49%"
"2024-01-24","109.04","110.21","110.26","108.87","","-1.06%"
"2024-01-23","110.21","109.89","110.26","109.22","","0.31%"
"2024-01-22","109.87","110.40","110.43","109.79","","-0.39%"
"2024-01-19","110.30","109.86","110.38","109.69","","0.42%"
"2024-01-18","109.84","109.69","109.87","109.36","","0.14%"
"2024-01-17","109.69","109.11","109.92","108.99","","0.61%"
"2024-01-16","109.03","108.55","109.24","108.25","","0.47%"
"2024-01-15","108.52","108.07","108.79","108.04","","0.45%"
"2024-01-12","108.03","108.48","108.82","107.99","","-0.40%"
"2024-01-11","108.46","108.93","109.25","108.44","","-0.42%"
"2024-01-10","108.92","107.89","109.00","107.76","","0.96%"
"2024-01-09","107.88","108.04","108.11","107.22","","-0.13%"
"2024-01-08","108.02","108.39","108.45","107.43","","-0.18%"
"2024-01-05","108.21","108.34","109.04","108.03","","-0.09%"
"2024-01-04","108.31","107.26","108.46","106.99","","0.94%"
"2024-01-03","107.30","106.56","107.63","106.44","","0.69%"
"2024-01-02","106.56","106.42","107.08","106.21","","0.15%"
"2024-01-01","106.40","106.49","106.59","106.38","","-0.06%"
"2023-12-29","106.46","106.88","107.23","106.33","","-0.36%"
"2023-12-28","106.85","107.38","107.39","106.32","","-0.48%"
"2023-12-27","107.36","107.90","108.29","107.12","","-0.50%"
"2023-12-26","107.90","107.38","108.01","107.16","","0.46%"
"2023-12-25","107.41","107.36","107.50","106.95","","0.13%"
"2023-12-22","107.27","107.00","107.60","106.83","","0.28%"
"2023-12-21","106.97","107.39","107.49","106.57","","-0.35%"
"2023-12-20","107.35","107.88","108.06","107.36","","-0.46%"
"2023-12-19","107.85","106.55","108.29","106.21","","1.26%"
"2023-12-18","106.51","106.38","107.00","106.18","","0.27%"
"2023-12-15","106.22","105.81","106.43","105.71","","0.39%"
"2023-12-14","105.81","105.72","105.90","104.74","","0.13%"
"2023-12-13","105.67","107.03","107.36","105.68","","-1.24%"
"2023-12-12","107.00","107.67","107.72","106.80","","-0.60%"
"2023-12-11","107.65","106.68","108.04","106.58","","0.95%"
"2023-12-08","106.64","105.97","106.82","104.89","","0.64%"
"2023-12-07","105.96","108.39","108.39","104.27","","-2.21%"
"2023-12-06","108.36","108.26","108.72","108.20","","0.13%"
