"Date","Price","Open","High","Low","Vol.","Change %"
"2024-02-23","1.4610","1.4594","1.4629","1.4576","","0.14%"
"2024-02-22","1.4590","1.4611","1.4643","1.4576","","-0.12%"
"2024-02-21","1.4608","1.4614","1.4627","1.4595","","0.01%"
"2024-02-20","1.4606","1.4540","1.4650","1.4533","","0.48%"
"2024-02-19","1.4536","1.4534","1.4548","1.4507","","0.06%"
"2024-02-16","1.4528","1.4502","1.4544","1.4490","","0.19%"
"2024-02-15","1.4501","1.4528","1.4567","1.4501","","-0.18%"
"2024-02-14","1.4527","1.4525","1.4553","1.4476","","0.05%"
"2024-02-13","1.4520","1.4489","1.4555","1.4464","","0.24%"
"2024-02-12","1.4485","1.4516","1.4538","1.4470","","-0.16%"
"2024-02-09","1.4508","1.4511","1.4538","1.4462","","0.06%"
"2024-02-08","1.4499","1.4503","1.4523","1.4481","","-0.01%"
"2024-02-07","1.4501","1.4512","1.4527","1.4481","","-0.06%"
"2024-02-06","1.4509","1.4547","1.4552","1.4490","","-0.22%"
"2024-02-05","1.4541","1.4525","1.4550","1.4491","","0.18%"
"2024-02-02","1.4515","1.4553","1.4585","1.4504","","-0.23%"
"2024-02-01","1.4548","1.4535","1.4562","1.4502","","0.12%"
"2024-01-31","1.4530","1.4531","1.4576","1.4494","","0.01%"
"2024-01-30","1.4528","1.4532","1.4572","1.4497","","0.00%"
"2024-01-29","1.4528","1.4592","1.4604","1.4520","","-0.47%"
"2024-01-26","1.4596","1.4616","1.4634","1.4569","","-0.12%"
"2024-01-25","1.4614","1.4720","1.4738","1.4600","","-0.69%"
"2024-01-24","1.4716","1.4605","1.4725","1.4598","","0.79%"
"2024-01-23","1.4600","1.4669","1.4697","1.4588","","-0.44%"
"2024-01-22","1.4665","1.4627","1.4677","1.4605","","0.21%"
"2024-01-19","1.4634","1.4668","1.4690","1.4628","","-0.20%"
"2024-01-18","1.4664","1.4700","1.4713","1.4649","","-0.21%"
"2024-01-17","1.4695","1.4673","1.4719","1.4658","","0.16%"
"2024-01-16","1.4671","1.4704","1.4730","1.4634","","-0.18%"
"2024-01-15","1.4698","1.4684","1.4727","1.4668","","0.12%"
"2024-01-12","1.4680","1.4697","1.4706","1.4624","","-0.07%"
"2024-01-11","1.4690","1.4682","1.4722","1.4653","","0.09%"
"2024-01-10","1.4677","1.4637","1.4685","1.4622","","0.31%"
"2024-01-09","1.4632","1.4618","1.4681","1.4601","","0.14%"
"2024-01-08","1.4611","1.4605","1.4692","1.4605","","-0.05%"
"2024-01-05","1.4619","1.4612","1.4648","1.4565","","0.08%"
"2024-01-04","1.4607","1.4584","1.4648","1.4557","","0.16%"
"2024-01-03","1.4583","1.4579","1.4615","1.4552","","0.08%"
"2024-01-02","1.4572","1.4622","1.4642","1.4547","","-0.31%"
"2024-01-01","1.4618","1.4621","1.4635","1.4609","","0.01%"
"2023-12-29","1.4617","1.4633","1.4693","1.4555","","-0.09%"
"2023-12-28","1.4630","1.4668","1.4721","1.4608","","-0.23%"
"2023-12-27","1.4664","1.4572","1.4689","1.4552","","0.65%"
"2023-12-26","1.4570","1.4595","1.4625","1.4549","","-0.10%"
"2023-12-25","1.4584","1.4610","1.4640","1.4587","","-0.19%"
"2023-12-22","1.4612","1.4624","1.4651","1.4585","","-0.05%"
"2023-12-21","1.4619","1.4627","1.4671","1.4591","","-0.01%"
"2023-12-20","1.4620","1.4640","1.4654","1.4583","","-0.12%"
"2023-12-19","1.4637","1.4636","1.4685","1.4617","","0.05%"
"2023-12-18","1.4630","1.4562","1.4647","1.4561","","0.36%"
"2023-12-15","1.4577","1.4740","1.4748","1.4562","","-1.07%"
"2023-12-14","1.4735","1.4700","1.4766","1.4653","","0.26%"
"2023-12-13","1.4697","1.4669","1.4718","1.4627","","0.23%"
"2023-12-12","1.4664","1.4612","1.4696","1.4591","","0.38%"
"2023-12-11","1.4608","1.4621","1.4656","1.4562","","-0.09%"
"2023-12-08","1.4621","1.4679","1.4685","1.4581","","-0.35%"
"2023-12-07","1.4673","1.4633","1.4705","1.4626","","0.31%"
"2023-12-06","1.4627","1.4675","1.4680","1.4611","","-0.29%"
"2023-12-05","1.4669","1.4669","1.4721","1.4633","","0.00%"
"2023-12-04","1.4669","1.4698","1.4739","1.4625","","-0.14%"
"2023-12-01","1.4689","1.4764","1.4783","1.4634","","-0.47%"
"2023-11-30","1.4758","1.4904","1.4927","1.4756","","-0.98%"
"2023-11-29","1.4904","1.4917","1.4932","1.4890","","-0.09%"
"2023-11-28","1.4918","1.4920","1.4950","1.4866","","0.03%"
"2023-11-27","1.4913","1.4919","1.4959","1.4897","","-0.01%"
"2023-11-24","1.4915","1.4935","1.4952","1.4867","","-0.11%"
"2023-11-23","1.4932","1.4906","1.4953","1.4893","","0.22%"
"2023-11-22","1.4899","1.4949","1.4989","1.4899","","-0.31%"
"2023-11-21","1.4945","1.5014","1.5047","1.4930","","-0.44%"
"2023-11-20","1.5011","1.4960","1.5042","1.4950","","0.33%"
"2023-11-17","1.4962","1.4929","1.4982","1.4892","","0.25%"
"2023-11-16","1.4924","1.4840","1.4984","1.4837","","0.57%"
"2023-11-15","1.4839","1.4898","1.4908","1.4809","","-0.38%"
"2023-11-14","1.4896","1.4768","1.4914","1.4758","","0.89%"
"2023-11-13","1.4764","1.4743","1.4777","1.4731","","0.17%"
"2023-11-10","1.4739","1.4733","1.4787","1.4706","","0.10%"
"2023-11-09","1.4725","1.4771","1.4778","1.4720","","-0.28%"
"2023-11-08","1.4766","1.4730","1.4792","1.4692","","0.26%"
"2023-11-07","1.4728","1.4681","1.4734","1.4670","","0.33%"
"2023-11-06","1.4679","1.4669","1.4701","1.4643","","0.16%"
"2023-11-03","1.4655","1.4596","1.4696","1.4586","","0.45%"
"2023-11-02","1.4589","1.4647","1.4724","1.4585","","-0.36%"
"2023-11-01","1.4641","1.4671","1.4684","1.4598","","-0.22%"
"2023-10-31","1.4673","1.4676","1.4751","1.4659","","0.01%"
"2023-10-30","1.4672","1.4650","1.4714","1.4613","","0.14%"
"2023-10-27","1.4651","1.4604","1.4697","1.4556","","0.31%"
"2023-10-26","1.4606","1.4583","1.4614","1.4538","","0.23%"
"2023-10-25","1.4572","1.4551","1.4606","1.4538","","0.19%"
"2023-10-24","1.4545","1.4605","1.4618","1.4531","","-0.40%"
"2023-10-23","1.4603","1.4532","1.4611","1.4497","","0.51%"
"2023-10-20","1.4529","1.4516","1.4534","1.4463","","0.10%"
"2023-10-19","1.4514","1.4450","1.4535","1.4443","","0.45%"
"2023-10-18","1.4449","1.4434","1.4454","1.4387","","0.10%"
"2023-10-17","1.4434","1.4373","1.4453","1.4350","","0.45%"
"2023-10-16","1.4369","1.4352","1.4389","1.4333","","0.12%"
"2023-10-13","1.4352","1.4413","1.4444","1.4327","","-0.40%"
"2023-10-12","1.4409","1.4440","1.4459","1.4376","","-0.15%"
"2023-10-11","1.4431","1.4406","1.4459","1.4397","","0.20%"
"2023-10-10","1.4402","1.4361","1.4428","1.4342","","0.32%"
"2023-10-09","1.4356","1.4482","1.4482","1.4347","","-0.73%"
"2023-10-06","1.4462","1.4460","1.4502","1.4375","","0.05%"
"2023-10-05","1.4455","1.4439","1.4493","1.4428","","0.14%"
"2023-10-04","1.4435","1.4348","1.4473","1.4335","","0.63%"
"2023-10-03","1.4345","1.4329","1.4399","1.4318","","0.13%"
"2023-10-02","1.4327","1.4349","1.4377","1.4325","","-0.16%"
"2023-09-29","1.4350","1.4246","1.4365","1.4218","","0.77%"
"2023-09-28","1.4240","1.4176","1.4268","1.4156","","0.49%"
"2023-09-27","1.4171","1.4290","1.4299","1.4172","","-0.80%"
"2023-09-26","1.4285","1.4253","1.4329","1.4237","","0.27%"
"2023-09-25","1.4247","1.4354","1.4366","1.4248","","-0.80%"
"2023-09-22","1.4362","1.4374","1.4381","1.4283","","-0.06%"
"2023-09-21","1.4370","1.4351","1.4402","1.4327","","0.16%"
"2023-09-20","1.4347","1.4361","1.4405","1.4342","","-0.08%"
"2023-09-19","1.4358","1.4419","1.4428","1.4302","","-0.40%"
"2023-09-18","1.4415","1.4411","1.4433","1.4368","","0.08%"
"2023-09-15","1.4404","1.4377","1.4461","1.4364","","0.21%"
"2023-09-14","1.4374","1.4543","1.4553","1.4358","","-1.09%"
"2023-09-13","1.4532","1.4576","1.4595","1.4519","","-0.26%"
"2023-09-12","1.4570","1.4591","1.4624","1.4511","","-0.12%"
"2023-09-11","1.4587","1.4586","1.4619","1.4555","","-0.04%"
"2023-09-08","1.4593","1.4636","1.4664","1.4567","","-0.30%"
"2023-09-07","1.4637","1.4626","1.4667","1.4595","","0.08%"
"2023-09-06","1.4626","1.4636","1.4677","1.4605","","-0.04%"
"2023-09-05","1.4632","1.4674","1.4705","1.4583","","-0.23%"
"2023-09-04","1.4665","1.4653","1.4697","1.4643","","0.14%"
"2023-09-01","1.4645","1.4647","1.4736","1.4631","","0.01%"
"2023-08-31","1.4643","1.4786","1.4801","1.4642","","-0.93%"
"2023-08-30","1.4781","1.4744","1.4828","1.4719","","0.28%"
"2023-08-29","1.4739","1.4713","1.4770","1.4691","","0.21%"
"2023-08-28","1.4708","1.4692","1.4721","1.4662","","0.12%"
"2023-08-25","1.4690","1.4682","1.4727","1.4627","","0.07%"
"2023-08-24","1.4679","1.4693","1.4724","1.4660","","-0.05%"
"2023-08-23","1.4687","1.4699","1.4740","1.4651","","-0.05%"
"2023-08-22","1.4694","1.4755","1.4787","1.4685","","-0.38%"
"2023-08-21","1.4750","1.4733","1.4787","1.4710","","0.20%"
"2023-08-18","1.4720","1.4727","1.4761","1.4708","","-0.03%"
"2023-08-17","1.4725","1.4727","1.4746","1.4694","","0.05%"
"2023-08-16","1.4718","1.4720","1.4763","1.4707","","0.01%"
"2023-08-15","1.4717","1.4681","1.4763","1.4668","","0.29%"
"2023-08-14","1.4675","1.4707","1.4742","1.4655","","-0.22%"
"2023-08-11","1.4707","1.4766","1.4805","1.4708","","-0.37%"
"2023-08-10","1.4762","1.4728","1.4804","1.4719","","0.26%"
"2023-08-09","1.4724","1.4707","1.4772","1.4693","","0.18%"
"2023-08-08","1.4697","1.4709","1.4774","1.4696","","-0.08%"
"2023-08-07","1.4709","1.4725","1.4741","1.4673","","-0.10%"
"2023-08-04","1.4724","1.4617","1.4747","1.4609","","0.73%"
"2023-08-03","1.4617","1.4602","1.4634","1.4575","","0.14%"
"2023-08-02","1.4597","1.4586","1.4632","1.4549","","0.10%"
"2023-08-01","1.4583","1.4504","1.4599","1.4495","","0.55%"
"2023-07-31","1.4503","1.4577","1.4617","1.4483","","-0.65%"
"2023-07-28","1.4598","1.4517","1.4621","1.4483","","0.63%"
"2023-07-27","1.4507","1.4637","1.4705","1.4487","","-0.89%"
"2023-07-26","1.4637","1.4559","1.4659","1.4553","","0.55%"
"2023-07-25","1.4557","1.4570","1.4589","1.4529","","-0.05%"
"2023-07-24","1.4564","1.4713","1.4721","1.4562","","-0.95%"
"2023-07-21","1.4704","1.4666","1.4716","1.4633","","0.31%"
"2023-07-20","1.4658","1.4744","1.4763","1.4648","","-0.55%"
"2023-07-19","1.4739","1.4784","1.4807","1.4725","","-0.28%"
"2023-07-18","1.4781","1.4831","1.4885","1.4779","","-0.32%"
"2023-07-17","1.4829","1.4839","1.4876","1.4777","","-0.06%"
"2023-07-14","1.4838","1.4724","1.4859","1.4698","","0.84%"
"2023-07-13","1.4714","1.4673","1.4732","1.4652","","0.29%"
"2023-07-12","1.4672","1.4566","1.4699","1.4554","","0.76%"
"2023-07-11","1.4561","1.4609","1.4624","1.4558","","-0.29%"
"2023-07-10","1.4603","1.4559","1.4613","1.4540","","0.34%"
"2023-07-07","1.4554","1.4555","1.4575","1.4509","","0.01%"
"2023-07-06","1.4553","1.4415","1.4567","1.4407","","0.99%"
"2023-07-05","1.4411","1.4388","1.4478","1.4382","","0.20%"
"2023-07-04","1.4382","1.4459","1.4468","1.4381","","-0.48%"
"2023-07-03","1.4452","1.4450","1.4473","1.4422","","0.08%"
"2023-06-30","1.4440","1.4397","1.4473","1.4365","","0.32%"
"2023-06-29","1.4394","1.4469","1.4507","1.4390","","-0.48%"
"2023-06-28","1.4464","1.4460","1.4520","1.4441","","0.06%"
"2023-06-27","1.4455","1.4345","1.4463","1.4327","","0.79%"
"2023-06-26","1.4342","1.4359","1.4382","1.4324","","-0.08%"
"2023-06-23","1.4353","1.4409","1.4427","1.4317","","-0.36%"
"2023-06-22","1.4405","1.4459","1.4490","1.4401","","-0.36%"
"2023-06-21","1.4457","1.4450","1.4470","1.4416","","0.09%"
"2023-06-20","1.4444","1.4430","1.4480","1.4417","","0.14%"
"2023-06-19","1.4424","1.4439","1.4470","1.4397","","-0.08%"
"2023-06-16","1.4435","1.4473","1.4505","1.4409","","-0.23%"
"2023-06-15","1.4469","1.4432","1.4504","1.4409","","0.28%"
"2023-06-14","1.4429","1.4373","1.4455","1.4337","","0.42%"
"2023-06-13","1.4368","1.4383","1.4441","1.4345","","-0.08%"
"2023-06-12","1.4380","1.4339","1.4396","1.4325","","0.29%"
"2023-06-09","1.4338","1.4402","1.4418","1.4318","","-0.39%"
"2023-06-08","1.4394","1.4305","1.4431","1.4282","","0.64%"
"2023-06-07","1.4302","1.4332","1.4384","1.4289","","-0.19%"
"2023-06-06","1.4329","1.4406","1.4412","1.4317","","-0.51%"
"2023-06-05","1.4402","1.4382","1.4428","1.4339","","0.22%"
"2023-06-02","1.4371","1.4477","1.4483","1.4370","","-0.67%"
"2023-06-01","1.4468","1.4511","1.4543","1.4446","","-0.26%"
"2023-05-31","1.4506","1.4598","1.4615","1.4462","","-0.63%"
"2023-05-30","1.4598","1.4550","1.4617","1.4514","","0.36%"
"2023-05-29","1.4545","1.4589","1.4608","1.4548","","-0.37%"
"2023-05-26","1.4599","1.4622","1.4651","1.4589","","-0.15%"
"2023-05-25","1.4621","1.4615","1.4636","1.4568","","0.08%"
"2023-05-24","1.4609","1.4547","1.4641","1.4535","","0.45%"
"2023-05-23","1.4543","1.4603","1.4621","1.4521","","-0.38%"
"2023-05-22","1.4599","1.4584","1.4631","1.4579","","0.12%"
