"Date","Price","Open","High","Low","Vol.","Change %"
"2024-02-25","1.7119","1.7110","1.7131","1.7101","","0.04%"
"2024-02-23","1.7112","1.7070","1.7132","1.7061","","0.27%"
"2024-02-22","1.7066","1.7068","1.7091","1.7016","","0.02%"
"2024-02-21","1.7062","1.7069","1.7088","1.7034","","0.01%"
"2024-02-20","1.7060","1.6991","1.7134","1.6973","","0.44%"
"2024-02-19","1.6985","1.6995","1.7019","1.6970","","-0.01%"
"2024-02-16","1.6987","1.6966","1.7014","1.6940","","0.14%"
"2024-02-15","1.6963","1.7018","1.7030","1.6959","","-0.31%"
"2024-02-14","1.7016","1.7080","1.7097","1.6971","","-0.33%"
"2024-02-13","1.7073","1.6987","1.7119","1.6967","","0.52%"
"2024-02-12","1.6985","1.6997","1.7025","1.6955","","-0.03%"
"2024-02-09","1.6990","1.6988","1.7029","1.6923","","0.09%"
"2024-02-08","1.6975","1.6999","1.7015","1.6951","","-0.13%"
"2024-02-07","1.6997","1.6999","1.7036","1.6985","","0.01%"
"2024-02-06","1.6996","1.6975","1.7021","1.6951","","0.18%"
"2024-02-05","1.6966","1.7010","1.7025","1.6940","","-0.20%"
"2024-02-02","1.7000","1.7059","1.7095","1.6983","","-0.32%"
"2024-02-01","1.7054","1.7045","1.7074","1.6963","","0.08%"
"2024-01-31","1.7041","1.7014","1.7062","1.6990","","0.17%"
"2024-01-30","1.7012","1.7054","1.7060","1.6980","","-0.17%"
"2024-01-29","1.7041","1.7081","1.7101","1.7036","","-0.25%"
"2024-01-26","1.7084","1.7125","1.7142","1.7071","","-0.23%"
"2024-01-25","1.7123","1.7210","1.7225","1.7112","","-0.48%"
"2024-01-24","1.7205","1.7069","1.7213","1.7062","","0.83%"
"2024-01-23","1.7063","1.7129","1.7168","1.7057","","-0.39%"
"2024-01-22","1.7129","1.7069","1.7139","1.7040","","0.43%"
"2024-01-19","1.7055","1.7136","1.7151","1.7050","","-0.46%"
"2024-01-18","1.7133","1.7121","1.7152","1.7088","","0.11%"
"2024-01-17","1.7114","1.7048","1.7170","1.7022","","0.39%"
"2024-01-16","1.7048","1.7089","1.7107","1.7016","","-0.20%"
"2024-01-15","1.7083","1.7101","1.7130","1.7056","","-0.08%"
"2024-01-12","1.7097","1.7090","1.7106","1.7014","","0.09%"
"2024-01-11","1.7082","1.7048","1.7109","1.7019","","0.23%"
"2024-01-10","1.7042","1.7019","1.7056","1.6988","","0.18%"
"2024-01-09","1.7012","1.7015","1.7061","1.6987","","0.01%"
"2024-01-08","1.7010","1.6975","1.7072","1.6967","","0.11%"
"2024-01-05","1.6991","1.6932","1.7020","1.6887","","0.40%"
"2024-01-04","1.6923","1.6912","1.6975","1.6887","","0.09%"
"2024-01-03","1.6908","1.6812","1.6929","1.6805","","0.61%"
"2024-01-02","1.6806","1.6849","1.6896","1.6787","","-0.20%"
"2024-01-01","1.6840","1.6866","1.6885","1.6836","","-0.12%"
"2023-12-29","1.6860","1.6843","1.6905","1.6783","","0.11%"
"2023-12-28","1.6841","1.6906","1.6933","1.6803","","-0.34%"
"2023-12-27","1.6898","1.6783","1.6920","1.6759","","0.63%"
"2023-12-26","1.6792","1.6825","1.6854","1.6769","","-0.12%"
"2023-12-25","1.6813","1.6852","1.6892","1.6813","","-0.25%"
"2023-12-22","1.6855","1.6854","1.6922","1.6827","","0.03%"
"2023-12-21","1.6850","1.6897","1.6928","1.6817","","-0.24%"
"2023-12-20","1.6891","1.6974","1.6993","1.6851","","-0.47%"
"2023-12-19","1.6970","1.6944","1.7056","1.6931","","0.21%"
"2023-12-18","1.6934","1.6944","1.6999","1.6897","","-0.15%"
"2023-12-15","1.6960","1.7119","1.7130","1.6941","","-0.90%"
"2023-12-14","1.7114","1.7057","1.7151","1.6984","","0.34%"
"2023-12-13","1.7056","1.7074","1.7091","1.6968","","-0.07%"
"2023-12-12","1.7068","1.7042","1.7106","1.7015","","0.18%"
"2023-12-11","1.7037","1.7046","1.7116","1.7017","","-0.05%"
"2023-12-08","1.7046","1.7126","1.7136","1.6998","","-0.43%"
"2023-12-07","1.7120","1.7074","1.7141","1.7062","","0.30%"
"2023-12-06","1.7069","1.7122","1.7132","1.7055","","-0.26%"
"2023-12-05","1.7113","1.7102","1.7174","1.7076","","0.11%"
"2023-12-04","1.7095","1.7155","1.7184","1.7056","","-0.34%"
"2023-12-01","1.7153","1.7118","1.7182","1.7036","","0.23%"
"2023-11-30","1.7113","1.7248","1.7269","1.7112","","-0.79%"
"2023-11-29","1.7250","1.7228","1.7278","1.7207","","0.12%"
"2023-11-28","1.7229","1.7196","1.7269","1.7131","","0.23%"
"2023-11-27","1.7189","1.7188","1.7240","1.7164","","0.03%"
"2023-11-24","1.7184","1.7165","1.7213","1.7136","","0.14%"
"2023-11-23","1.7160","1.7103","1.7200","1.7082","","0.38%"
"2023-11-22","1.7095","1.7181","1.7215","1.7097","","-0.47%"
"2023-11-21","1.7176","1.7167","1.7227","1.7146","","0.09%"
"2023-11-20","1.7160","1.7091","1.7177","1.7077","","0.39%"
"2023-11-17","1.7094","1.7079","1.7109","1.7014","","0.18%"
"2023-11-16","1.7064","1.6990","1.7126","1.6953","","0.49%"
"2023-11-15","1.6981","1.7116","1.7123","1.6962","","-0.76%"
"2023-11-14","1.7111","1.6951","1.7136","1.6928","","0.97%"
"2023-11-13","1.6946","1.6869","1.6960","1.6842","","0.48%"
"2023-11-10","1.6865","1.6878","1.6904","1.6855","","-0.04%"
"2023-11-09","1.6872","1.6946","1.6976","1.6865","","-0.39%"
"2023-11-08","1.6938","1.6933","1.6983","1.6873","","0.04%"
"2023-11-07","1.6931","1.6911","1.6942","1.6888","","0.14%"
"2023-11-06","1.6908","1.6918","1.6962","1.6883","","0.02%"
"2023-11-03","1.6904","1.6761","1.6948","1.6741","","0.85%"
"2023-11-02","1.6761","1.6837","1.6889","1.6759","","-0.42%"
"2023-11-01","1.6831","1.6862","1.6882","1.6780","","-0.17%"
"2023-10-31","1.6860","1.6827","1.6873","1.6791","","0.23%"
"2023-10-30","1.6822","1.6824","1.6839","1.6753","","0.06%"
