Trade: Principal trading partners,14-Jan,14-Feb,14-Mar,14-Apr,14-May,14-Jun,14-Jul,14-Aug,14-Sep,14-Oct,14-Nov,14-Dec,15-Jan,15-Feb,15-Mar,15-Apr,15-May,15-Jun,15-Jul,15-Aug,15-Sep,15-Oct,15-Nov,15-Dec,16-Jan,16-Feb,16-Mar,16-Apr,16-May,16-Jun,16-Jul,16-Aug,16-Sep,16-Oct,16-Nov,16-Dec,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct,21-Nov,21-Dec,22-Jan,22-Feb,22-Mar,22-Apr,22-May,22-Jun,22-Jul,22-Aug,22-Sep,22-Oct,22-Nov,22-Dec,23-Jan,23-Feb,23-Mar,23-Apr,23-May,23-Jun,23-Jul,23-Aug,23-Sep,23-Oct,23-Nov,23-Dec,24-Jan,24-Feb,24-Mar
All countries,"41,334.20","42,647.00","42,944.60","43,410.00","44,711.20","43,526.80","43,656.80","43,868.20","44,399.60","45,238.90","44,462.70","44,851.80","44,724.40","44,587.70","46,597.30","45,306.30","45,176.20","45,283.90","46,058.30","46,393.50","46,385.50","45,797.60","46,237.60","46,516.40","46,825.30","46,555.00","44,744.30","44,638.70","44,529.70","44,896.40","44,611.10","45,670.00","48,036.70","45,793.60","45,383.20","45,665.20","47,072.30","47,370.90","47,440.70","48,440.80","49,569.30","49,270.40","46,754.80","46,485.60","46,931.00","46,322.40","49,354.50","50,011.60","47,927.00","48,910.10","51,677.20","50,496.20","51,479.90","51,933.30","51,547.00","51,086.70","51,191.10","50,427.90","50,126.30","51,167.50","51,926.70","51,367.00","52,668.80","51,881.70","52,710.30","51,107.70","51,110.90","51,834.20","50,508.80","50,295.00","49,606.90","49,379.40","50,376.90","50,809.00","48,435.20","37,238.00","36,010.00","43,578.10","47,847.20","48,580.10","49,910.90","50,187.20","50,412.10","49,738.70","51,138.90","49,925.90","52,044.10","50,070.60","51,586.90","51,497.50","52,975.20","52,830.60","52,005.40","54,447.30","56,192.20","59,583.60","55,526.60","58,272.90","62,177.90","63,795.20","64,222.10","66,035.80","64,825.20","65,536.90","65,516.00","65,826.70","64,239.50","63,507.00","65,823.90","64,358.20","62,980.10","62,658.90","65,278.00","65,369.60","62,204.50","64,403.40","65,018.20","63,345.90","64,359.60","64,374.70","62,379.90","65,620.80","64,840.40"
United States,"27,037.20","28,622.40","28,668.70","28,889.00","29,220.00","29,243.40","29,470.70","29,256.90","29,970.00","30,541.40","30,166.60","30,190.20","29,807.50","29,654.20","30,098.30","29,814.60","29,789.30","29,881.40","30,712.10","30,607.10","30,904.50","30,584.90","30,732.40","31,120.20","31,314.70","30,833.00","29,028.20","29,628.90","29,484.40","29,888.60","29,461.60","30,178.10","30,009.80","30,155.00","29,659.40","30,126.80","31,021.40","30,278.00","30,667.30","31,197.30","32,524.30","32,031.90","29,932.70","29,876.20","30,019.10","29,935.10","32,188.30","32,055.80","31,214.30","31,937.40","33,150.80","32,320.60","32,933.90","33,143.90","33,020.20","32,436.20","33,115.80","33,107.00","32,930.80","32,201.30","32,689.60","32,905.50","33,254.60","33,441.10","33,585.30","32,591.00","32,590.50","33,229.90","32,789.40","32,213.40","31,849.50","31,273.30","32,616.70","33,042.80","30,601.70","20,210.20","21,136.90","26,979.30","30,723.30","31,117.40","31,796.40","30,870.50","30,628.30","31,168.30","32,100.80","31,283.50","32,295.30","31,121.20","31,240.30","31,926.20","34,026.30","32,451.70","31,659.90","34,127.90","35,540.20","37,204.90","35,618.20","35,728.10","37,223.80","39,327.00","39,670.20","40,959.40","40,715.50","40,865.30","40,921.20","41,062.70","40,526.30","40,665.10","41,683.90","40,011.80","40,105.20","39,746.50","40,754.70","40,661.10","40,019.60","40,372.10","41,117.70","39,581.80","39,919.40","40,060.10","39,788.30","41,196.60","40,740.20"
European Union 6,"3,879.90","3,831.90","3,988.50","4,233.60","4,477.40","4,038.10","4,086.20","4,203.60","4,298.30","4,123.80","4,136.40","4,178.00","4,165.50","4,262.20","4,358.70","4,425.30","4,303.10","4,600.60","4,429.90","4,603.80","4,452.30","4,410.60","4,324.90","4,825.70","4,393.60","4,499.40","4,368.00","4,124.00","4,231.40","4,316.90","4,183.30","4,471.00","4,581.50","4,419.40","4,517.80","4,335.90","4,866.60","4,695.50","4,621.00","4,671.90","4,487.10","4,706.40","4,637.20","4,517.60","4,616.00","4,768.00","4,780.70","5,489.80","4,907.00","4,807.60","5,432.70","5,275.70","5,427.60","5,652.10","5,514.60","6,029.00","5,221.80","5,051.10","5,036.10","5,397.70","5,701.70","5,491.00","5,472.40","5,624.90","5,822.90","5,331.20","5,197.80","5,618.20","5,210.70","5,543.50","5,594.10","5,894.40","5,098.90","5,264.70","5,365.90","4,929.30","4,207.90","5,038.70","4,626.60","4,699.20","5,494.40","5,065.30","5,441.10","5,158.80","4,651.30","4,431.80","4,383.50","4,707.80","4,769.40","5,027.10","4,788.30","5,017.80","4,784.90","4,770.90","4,915.60","4,969.90","5,024.60","5,286.00","5,708.80","5,565.90","6,044.60","5,940.10","5,849.40","5,994.80","6,169.70","6,333.20","5,534.40","5,707.60","6,417.60","7,034.30","5,638.70","6,384.60","6,133.70","6,388.10","6,262.50","6,257.80","5,558.60","6,401.80","6,230.50","6,019.60","5,956.60","6,057.50","6,210.10"
China,"2,807.80","2,876.30","2,916.20","3,100.60","3,135.50","2,869.40","2,743.20","2,915.00","3,008.90","3,130.90","3,037.30","3,028.70","3,356.00","3,107.00","4,138.90","3,056.90","2,982.80","2,998.10","3,198.00","3,280.50","3,359.60","3,217.80","3,138.30","3,129.20","3,251.20","3,408.00","3,095.40","2,988.50","2,985.80","3,062.40","3,000.40","3,123.10","3,012.00","3,435.00","3,133.80","3,165.50","3,249.70","3,508.90","3,494.00","3,633.40","3,706.50","3,705.00","3,566.10","3,464.70","3,379.40","3,421.50","3,827.40","3,775.70","3,530.90","3,646.50","4,324.00","3,681.50","4,015.90","3,845.60","3,866.30","3,689.10","3,938.40","3,801.30","3,870.20","4,147.30","4,377.30","4,099.50","4,427.50","4,121.20","3,864.30","3,874.40","3,726.90","3,627.10","3,839.20","3,564.90","3,524.20","3,865.20","3,407.60","3,227.00","3,001.30","4,174.50","4,537.20","4,435.50","4,449.10","4,545.80","3,818.80","4,703.60","4,847.20","4,544.10","4,529.30","4,413.50","5,536.60","4,637.60","4,712.40","4,410.10","4,020.70","4,706.90","4,775.00","5,141.30","4,853.30","5,427.60","4,344.10","5,672.20","7,115.90","6,140.60","5,781.00","6,127.60","5,937.80","6,110.30","6,119.90","5,709.40","5,294.10","5,282.20","5,275.40","5,305.80","5,149.80","4,872.60","5,151.50","5,366.70","3,978.10","4,829.60","5,174.20","4,876.30","5,132.00","5,075.40","4,471.40","5,276.00","5,429.10"
United Kingdom,650.2,545.9,622.2,742.8,608.7,656.3,523.9,755.6,856.3,731.2,731.2,831.3,910.9,849.1,788.7,561.6,714.9,778.4,549.5,935.3,650.6,650.9,585.6,664,636,711.7,576.7,560.4,629.1,633.6,625,747.4,709.6,693.7,595,619.2,880.6,618.8,650.5,693.9,582.3,684,703.6,569.1,679.6,647.8,647,731.4,589.1,623.5,696.5,713.7,699.1,671.6,797,750.7,705.6,656.5,673.8,646.4,802,669.3,735.6,772.5,743.9,638.2,569.2,515.6,681.6,729.7,789.5,740.4,648.4,682.8,740.2,"1,199.20",711.3,637.1,615.6,862.8,882.2,722.4,818.9,886.4,617.3,"1,003.50",683.6,691.4,742.2,860.1,"1,152.10","1,004.50",878.3,786.2,841,768.6,723.9,870.9,860.1,878.8,932.4,"1,118.50",768.3,675.5,735.3,751.2,678.6,906.7,"1,103.30",778.7,770.8,683.7,"1,181.80","1,317.90",950.5,904.2,655.2,726.1,"1,063.60",737.3,716.3,956.8,834.6
Mexico,"1,387.50","1,314.90","1,348.00","1,306.20","1,439.90","1,394.00","1,398.20","1,409.80","1,480.00","1,547.40","1,526.90","1,582.90","1,554.60","1,623.70","1,539.90","1,592.00","1,459.20","1,543.50","1,562.50","1,494.60","1,499.90","1,459.60","1,511.80","1,532.50","1,533.20","1,568.50","1,586.10","1,565.40","1,590.40","1,585.20","1,546.10","1,541.10","1,566.00","1,640.50","1,502.00","1,691.10","1,690.30","1,684.00","1,808.20","1,744.20","1,810.60","1,787.30","1,605.90","1,937.40","1,978.30","1,620.00","1,791.70","1,777.30","1,586.10","1,790.20","1,761.20","1,822.30","1,703.60","1,814.00","1,811.30","1,827.80","1,774.70","1,662.20","1,645.20","1,657.80","1,737.80","1,573.20","1,850.70","1,772.10","1,855.70","1,798.70","1,766.70","1,613.90","1,639.60","1,718.40","1,612.30","1,540.60","1,689.40","1,728.60","1,468.60",731.5,593.7,"1,209.10","1,536.90","1,458.70","1,541.80","1,595.80","1,698.20","1,770.10","1,707.90","1,527.60","1,580.00","1,470.10","1,686.20","1,643.20","1,456.60","1,788.20","1,689.10","1,751.10","1,704.30","1,925.60","1,756.50","1,857.80","1,993.30","2,144.10","1,911.20","2,003.20","2,147.00","2,078.30","2,292.40","2,094.20","2,170.20","1,910.90","2,364.70","2,260.10","2,356.40","2,251.40","2,435.40","2,329.70","2,396.20","2,444.10","2,575.80","2,409.30","2,534.30","2,377.90","2,395.80","2,358.40","2,184.10"
Export: All countries,"40,542.90","43,295.50","44,537.40","43,795.10","45,355.50","45,242.30","45,422.80","44,859.90","45,070.10","45,116.70","43,738.40","43,652.10","42,367.20","42,932.60","43,273.70","42,996.20","42,598.90","44,943.90","45,674.30","44,856.20","44,452.40","43,458.70","43,153.70","44,605.30","45,518.40","43,349.70","41,507.40","41,552.40","40,944.80","41,120.50","43,174.40","44,151.30","44,001.00","44,407.90","46,456.40","46,116.70","46,977.10","46,110.40","46,769.30","47,390.30","47,988.40","45,712.00","43,807.00","43,560.10","43,763.80","44,638.00","46,728.90","47,079.40","46,068.90","46,806.10","48,208.00","49,008.90","49,014.30","51,684.60","51,481.60","50,585.90","50,664.20","50,226.30","47,003.30","45,412.50","47,883.20","48,221.50","50,285.30","50,781.90","52,395.20","49,835.90","49,445.40","50,262.50","49,632.70","48,968.80","48,703.40","49,183.60","47,575.30","47,859.60","43,878.80","31,699.50","34,109.00","40,955.60","44,625.30","45,176.80","45,930.20","46,242.40","46,827.60","47,596.00","52,202.70","50,638.20","50,232.60","50,000.60","49,121.10","52,475.90","52,884.20","53,774.10","52,891.10","56,118.80","58,609.60","57,808.90","58,774.50","61,226.20","64,288.60","65,807.30","68,372.70","69,017.00","66,285.90","65,205.60","66,182.90","65,947.50","63,798.10","64,282.00","67,398.20","63,758.40","63,497.30","64,212.60","62,760.20","60,446.90","61,357.70","64,932.80","65,665.60","65,664.80","65,026.30","63,504.30","62,781.70","66,096.80","62,563.70"
United States,"30,937.50","33,361.90","33,930.50","33,734.20","34,375.50","33,756.70","34,124.10","33,938.70","34,008.00","33,942.70","33,341.40","32,790.70","31,941.60","32,283.80","32,269.60","32,591.10","32,205.20","34,399.20","34,802.10","34,473.00","33,981.80","32,416.40","32,621.50","33,462.10","34,711.60","32,850.80","30,857.60","31,112.30","31,644.90","31,213.00","32,904.80","33,129.50","32,821.20","33,220.10","34,424.60","33,945.50","35,344.50","34,985.00","33,915.60","35,776.50","35,751.50","33,774.40","32,765.80","32,609.80","32,196.70","33,252.70","35,520.80","35,171.10","34,641.70","35,168.70","35,469.10","36,578.40","36,592.00","37,881.60","38,692.30","37,696.80","37,678.90","36,994.40","34,036.80","32,817.60","34,930.20","36,608.30","37,922.00","38,240.70","38,779.50","37,358.90","37,030.40","37,853.30","37,529.20","36,960.70","36,079.10","36,563.80","35,342.80","35,640.50","31,420.00","20,506.60","22,381.50","29,175.10","32,566.10","33,950.30","33,573.00","33,712.30","33,348.30","33,769.00","38,035.90","38,007.40","36,345.40","36,801.30","36,462.80","38,473.50","39,986.60","40,262.90","39,714.60","42,454.90","45,519.20","44,312.20","45,733.60","46,350.80","49,534.60","51,585.80","52,527.70","52,579.40","50,692.60","50,098.20","49,949.50","49,552.00","47,624.70","48,659.90","50,689.10","48,234.60","47,716.10","49,043.90","48,585.50","47,114.40","48,329.40","50,972.90","51,588.10","50,924.60","50,756.80","48,707.80","48,480.40","49,683.20","47,214.80"
European Union 6,"2,667.90","3,011.30","3,396.90","2,718.60","3,353.20","3,734.30","3,780.40","3,575.40","3,685.00","3,944.30","3,049.40","3,582.30","3,444.20","3,222.20","3,382.80","3,042.20","3,106.70","3,348.50","3,408.20","2,731.40","3,221.10","3,687.40","3,254.90","3,413.40","3,351.00","3,284.70","3,787.80","3,451.70","2,745.20","3,094.20","3,507.80","3,531.30","3,825.90","3,581.60","3,829.10","3,972.10","3,383.50","3,568.40","3,931.10","3,421.10","4,133.70","3,946.50","3,457.00","3,618.90","3,791.00","3,605.60","3,408.90","3,553.90","3,958.30","3,539.90","4,152.40","3,854.10","3,496.00","3,973.20","4,251.10","4,155.40","3,876.20","3,689.40","4,020.40","3,392.00","4,223.90","3,537.20","4,145.00","4,135.50","3,814.10","3,918.10","3,990.80","4,003.30","4,022.40","4,216.80","4,696.40","4,475.40","4,280.00","3,972.60","3,995.70","3,199.10","3,182.20","4,017.00","3,850.80","3,736.70","4,338.70","4,496.30","5,709.30","5,155.60","2,607.40","2,050.90","2,567.00","2,583.50","2,548.40","2,763.50","2,481.20","2,762.70","2,694.20","2,681.20","2,550.40","2,912.50","2,667.60","2,845.90","2,980.80","2,815.40","3,111.30","3,152.00","2,792.40","3,263.60","3,197.50","3,235.30","3,180.30","3,207.60","3,023.80","2,789.20","2,934.10","3,003.20","2,985.00","2,934.40","2,672.20","2,756.80","2,804.50","3,100.70","2,672.40","2,806.70","2,692.60","2,715.20","2,665.30"
China,"1,599.30","1,557.10","1,653.10","1,802.50","1,803.00","1,797.60","1,764.20","1,799.80","1,787.00","1,738.70","1,519.30","1,645.00","1,600.10","1,748.60","1,682.80","2,028.40","1,692.10","1,826.60","1,936.60","1,910.60","1,753.60","1,748.30","1,766.50","1,724.40","1,967.00","1,982.50","1,705.00","1,721.70","1,696.90","1,747.20","1,842.60","2,015.40","1,724.20","1,832.70","2,028.30","2,083.00","2,355.10","2,091.00","2,277.50","2,039.30","1,924.80","1,971.30","2,020.30","1,928.10","2,124.00","2,006.00","2,153.00","2,101.60","1,795.50","2,146.30","2,118.10","2,299.60","2,320.40","2,224.10","2,323.40","2,265.70","2,805.30","2,952.80","2,786.80","2,827.00","2,045.20","2,211.90","2,000.40","2,132.00","2,124.10","2,048.50","1,831.30","2,108.10","2,018.20","1,726.30","1,790.80","2,120.00","1,946.90","1,909.50","1,731.00","2,137.30","2,439.10","2,387.40","2,406.90","2,271.80","2,291.60","2,179.20","2,075.60","2,423.30","2,571.20","2,408.70","2,481.30","2,436.40","2,449.10","2,514.70","2,203.20","2,307.80","2,269.80","2,688.00","2,267.70","2,062.10","2,085.20","2,233.40","2,099.50","2,089.00","2,015.20","2,268.40","2,228.30","2,472.20","2,692.50","3,407.00","3,113.90","2,553.70","3,033.30","3,043.70","2,851.70","2,474.70","2,634.20","1,819.10","2,424.20","2,405.00","2,626.50","2,551.30","2,619.30","2,531.50","2,286.00","2,555.10","2,402.80"
