Nort mrin Inustry lssiition Systm (NIS),14-Jan,14-Feb,14-Mar,14-Apr,14-May,14-Jun,14-Jul,14-Aug,14-Sep,14-Oct,14-Nov,14-Dec,15-Jan,15-Feb,15-Mar,15-Apr,15-May,15-Jun,15-Jul,15-Aug,15-Sep,15-Oct,15-Nov,15-Dec,16-Jan,16-Feb,16-Mar,16-Apr,16-May,16-Jun,16-Jul,16-Aug,16-Sep,16-Oct,16-Nov,16-Dec,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct,21-Nov,21-Dec,22-Jan,22-Feb,22-Mar,22-Apr,22-May,22-Jun,22-Jul,22-Aug,22-Sep,22-Oct,22-Nov,22-Dec,23-Jan,23-Feb,23-Mar,23-Apr,23-May,23-Jun,23-Jul,23-Aug,23-Sep,23-Oct,23-Nov,23-Dec,24-Jan,24-Feb,24-Mar
Wolsl tr  [41],"50,184,932","51,341,689","51,356,479","51,556,167","52,873,888","52,956,208","52,709,606","52,993,630","54,370,263","53,889,679","53,257,681","55,454,367","53,312,436","53,742,733","54,083,752","55,001,599","54,244,539","54,775,703","54,837,836","54,843,037","55,003,035","54,792,529","55,845,387","57,481,438","56,544,987","55,359,587","54,415,547","55,195,396","55,505,590","56,212,285","56,298,884","56,373,277","56,341,983","56,916,607","57,011,128","58,314,269","58,551,737","58,490,600","59,424,927","59,726,913","60,352,482","60,392,623","60,583,626","60,828,276","60,524,772","61,547,084","62,360,018","62,207,087","61,697,530","61,238,748","62,316,953","62,068,237","63,556,194","62,885,471","62,849,847","62,910,489","62,517,532","63,270,021","62,715,024","62,867,023","62,620,136","62,368,930","63,146,160","64,294,621","63,672,055","63,872,922","64,676,460","63,684,529","64,253,707","63,412,711","62,315,534","63,493,822","64,261,015","64,689,484","62,597,406","49,019,728","52,409,534","62,629,678","65,199,585","65,863,059","66,466,169","66,878,563","67,280,842","66,828,950","68,792,340","68,398,985","71,065,210","71,606,749","72,587,986","71,953,199","71,003,702","71,728,253","72,759,495","75,030,461","77,298,839","78,091,972","79,794,472","79,667,297","80,340,552","79,766,416","80,484,847","80,594,894","80,321,690","81,986,984","81,755,188","83,485,072","82,676,588","81,995,334","86,877,597","85,876,065","121,393,078","127,382,838","129,740,546","121,624,574","125,054,034","130,359,457","129,234,756","127,097,011","122,568,401","116,850,619","117,287,179","119,995,359","118,701,793"
Wolsl tr (luin oils n rin)  [41 - 41112],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"84,060,096","83,104,492","118,202,821","124,730,784","126,647,540","119,005,410","122,512,954","128,038,788","126,807,353","123,679,475","119,366,023","114,302,293","114,553,583","117,363,568","116,166,243"
"Wolsl tr (luin ptrolum, ptrolum prouts, n otr yrorons)  [41 - 412]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"84,954,610","83,229,207","86,096,656","83,783,797","83,592,918","84,881,942","84,480,699","85,292,534","85,777,057","84,818,748","84,823,513","84,912,281","83,946,050"
"Wolsl tr (luin ptrolum, ptrolum prouts, n otr yrorons n luin Oils n rin)  [41 - 412-41112]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"83,104,492","81,764,353","80,577,153","83,003,652","81,164,633","81,051,838","82,561,273","82,053,295","81,874,998","82,574,679","82,270,422","82,089,917","82,280,490","81,410,500"
rm prout mrnt wolslrs  [411],"622,599","642,813","646,680","679,847","661,364","700,455","722,448","722,149","732,285","827,433","740,174","783,189","688,643","773,716","807,702","764,481","736,001","724,413","679,329","707,181","737,610","750,508","730,030","691,347","666,653","682,163","655,210","599,719","671,504","675,933","702,221","652,257","628,394","594,527","644,648","753,518","734,117","729,931","731,785","790,814","813,992","769,732","778,452","778,820","767,807","792,307","829,854","788,949","725,967","784,660","828,889","722,717","872,016","824,772","824,807","837,268","840,877","812,584","814,165","804,003","806,060","789,549","830,533","827,165","803,473","848,276","813,963","821,579","833,769","833,984","880,210","842,698","848,730","775,879","778,954","708,161","805,070","821,041","851,268","889,523","918,578","908,258","913,607","931,309","936,975","997,501","983,042","991,743","949,362","1,042,371","1,177,044","1,101,779","1,063,187","1,082,857","970,786","1,037,186","1,091,324","1,143,773","1,125,495","1,162,538","1,194,753","1,210,450","1,213,336","1,121,525","1,247,663","1,269,111","1,253,593","1,267,717","4,146,405","4,057,512","4,523,198","4,043,983","4,451,425","3,896,235","3,832,938","3,674,007","3,862,099","4,833,445","4,578,129","3,834,411","3,974,769","3,931,966","3,885,201"
rm prout mrnt wolslrs  [4111],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liv niml mrnt wolslrs  [41111],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oils n rin mrnt wolslrs  [41112],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,817,501","2,771,572","3,190,257","2,652,054","3,093,005","2,619,165","2,541,080","2,320,669","2,427,403","3,417,536","3,202,378","2,548,326","2,733,596","2,631,791","2,535,550"
rm prout mrnt wolslrs (luin oils n rin)  [411 - 41112],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,285,940","1,332,941","1,391,929","1,358,420","1,277,071","1,291,857","1,353,338","1,434,696","1,415,909","1,375,751","1,286,086","1,241,173","1,300,175","1,349,650"
Nursry stok n plnt mrnt wolslrs  [41113],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otr rm prout mrnt wolslrs  [41119],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ptrolum, ptrolum prouts, n otr yrorons mrnt wolslrs  [412]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36,438,468","44,153,631","43,643,889","37,840,777","41,461,116","45,477,515","44,754,058","41,804,477","36,791,344","32,031,871","32,463,666","35,083,078","34,755,743"
"oo, vr n too mrnt wolslrs  [413]","9,769,393","9,924,572","10,047,113","10,082,293","10,087,864","10,227,717","10,071,069","10,212,969","10,320,154","10,195,038","10,300,223","10,218,549","10,398,924","10,533,410","10,562,999","10,333,085","10,435,400","10,545,354","10,523,886","10,594,891","10,845,360","10,620,519","10,792,382","10,890,242","10,867,795","10,870,370","10,616,837","10,854,474","11,151,123","11,019,162","11,175,603","11,145,419","11,233,232","11,396,529","11,245,351","11,403,022","11,067,729","11,291,285","11,494,690","11,544,506","11,759,818","11,535,521","11,612,110","11,608,127","11,260,226","11,567,324","11,833,160","11,643,838","11,674,328","11,913,187","11,622,400","11,818,027","11,659,521","11,439,838","11,745,542","11,815,641","11,693,966","11,803,643","11,649,988","11,654,735","11,665,070","11,586,004","11,590,778","11,677,315","11,687,254","11,791,987","11,866,793","11,728,422","11,740,303","11,788,987","11,928,576","12,210,132","12,392,027","12,409,286","13,136,731","11,726,273","12,056,357","12,463,852","12,455,820","11,953,399","12,605,737","12,195,848","12,252,684","12,163,915","12,462,851","12,299,472","12,651,829","12,740,194","13,095,906","12,863,019","12,801,049","13,356,810","13,486,622","13,638,409","13,615,210","13,201,475","13,522,806","13,635,144","13,879,658","13,721,462","14,315,466","14,226,942","14,381,261","14,692,858","14,967,935","15,251,682","14,578,605","15,078,801","15,823,437","15,065,803","15,056,830","14,687,043","14,845,542","14,983,302","14,915,981","14,744,171","14,990,819","14,784,388","14,792,653","14,915,179","14,724,302","14,471,552","14,599,775"
oo mrnt wolslrs  [4131],"8,790,150","8,940,354","9,046,686","9,092,330","9,081,766","9,205,499","9,055,763","9,205,984","9,287,075","9,191,328","9,282,802","9,197,679","9,334,075","9,513,268","9,504,951","9,325,777","9,418,455","9,595,495","9,504,209","9,592,941","9,836,737","9,580,030","9,744,384","9,821,060","9,797,863","9,769,579","9,522,798","9,762,940","10,069,163","9,960,693","10,101,616","10,071,564","10,144,214","10,291,443","10,123,410","10,284,951","9,966,781","10,194,296","10,367,006","10,392,641","10,631,336","10,392,631","10,390,620","10,433,475","10,090,104","10,370,467","10,636,706","10,415,905","10,512,826","10,695,492","10,402,377","10,593,646","10,388,849","10,192,176","10,466,510","10,534,795","10,454,043","10,536,605","10,373,805","10,315,635","10,469,412","10,409,959","10,415,003","10,459,804","10,444,597","10,544,163","10,572,935","10,450,634","10,460,069","10,518,380","10,697,561","10,996,070","11,037,877","10,963,368","11,684,548","10,348,068","10,631,790","10,869,914","10,900,730","10,385,261","11,036,400","10,653,154","10,681,898","10,629,894","10,771,077","10,724,629","10,950,533","11,098,590","11,488,813","11,259,041","11,184,795","11,747,051","11,781,472","11,973,975","11,963,624","11,597,314","11,800,614","11,997,031","12,133,451","12,176,219","12,751,082","12,645,020","12,769,835","13,039,018","13,316,653","13,621,693","13,036,251","13,352,737","14,143,562","13,420,594","13,401,988","13,037,888","13,138,192","13,290,662","13,101,627","13,016,620","13,279,218","13,049,441","13,115,003","13,373,073","13,140,825","12,897,109","13,027,340"
vr mrnt wolslrs  [4132],"487,808","486,775","486,327","486,113","485,341","494,336","489,627","495,583","496,819","479,100","499,003","500,200","542,766","502,028","526,302","512,078","523,622","524,667","519,949","518,059","535,768","543,620","551,246","548,739","558,832","580,671","579,295","565,268","564,629","568,148","564,386","556,160","569,973","587,775","593,424","601,428","574,166","570,747","579,612","611,310","597,549","594,227","694,969","609,944","601,128","621,190","616,512","635,048","628,455","629,019","638,089","637,565","650,256","635,896","681,395","658,706","626,769","628,164","619,331","633,161","642,485","623,578","613,636","634,535","640,726","637,465","641,241","640,370","661,728","633,095","645,537","648,321","723,782","738,767","766,364","729,488","747,160","827,140","829,358","841,928","832,038","827,237","826,139","765,138","809,986","813,646","823,332","822,944","797,517","811,141","797,732","798,695","817,393","821,369","837,203","820,629","911,577","862,694","962,281","838,886","848,463","850,587","907,214","909,208","877,333","902,180","813,898","984,106","957,981","926,370","908,627","930,976","952,961","912,493","923,406","913,891","922,548","964,736","930,736","961,231","943,011","960,955","961,793"
irtt n too prout mrnt wolslrs  [4133],"491,435","497,442","514,100","503,850","520,757","527,882","525,678","511,402","536,260","524,610","518,418","520,669","522,083","518,115","531,746","495,230","493,323","425,193","499,728","483,890","472,854","496,870","496,753","520,443","511,101","520,119","514,745","526,266","517,331","490,322","509,601","517,694","519,045","517,311","528,518","516,643","526,782","526,243","548,072","540,555","530,933","548,663","526,522","564,709","568,993","575,667","579,943","592,885","533,047","588,676","581,934","586,816","620,416","611,766","597,637","622,140","613,154","616,457","636,131","671,408","527,968","530,360","532,025","553,853","546,489","563,815","591,620","568,113","552,768","571,520","533,696","504,032","560,759","632,293","599,471","584,498","601,278","670,753","622,262","614,921","610,293","590,719","627,184","622,224","753,048","638,409","706,262","672,108","660,992","625,038","639,004","625,092","693,135","656,180","627,021","587,341","619,552","595,054","568,523","505,157","504,634","506,296","487,698","522,083","513,253","498,429","494,901","503,102","519,940","518,784","505,053","510,433","519,964","530,949","637,956","525,326","519,041","509,913","484,783","337,996","399,295","347,918","348,981"
nnis mrnt wolslrs  [4134] 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,417","20,721","34,531","25,206","22,107","30,113","29,122","55,442","46,545","60,997","69,306","65,738","65,993","51,782","61,709","69,610","74,858","86,348","64,219","76,129","96,045","103,470","111,289","127,005","124,738","117,463","146,659","128,740","122,788","171,701","146,552","148,584","167,799","179,519","185,971","194,622","186,884","187,362","196,191","191,063","180,364","215,402","201,199","211,288","225,039","216,514","222,549","260,696","229,380","233,555","238,855","201,954","200,056","241,162","207,746","234,425","249,198","252,991","288,333","270,012","260,298","262,131","242,880","241,172","265,570","261,661"
Prsonl n ousol oos mrnt wolslrs  [414],"7,269,643","7,325,062","7,224,077","7,311,992","7,373,702","7,251,213","7,255,528","7,221,487","7,346,615","7,274,158","7,460,085","7,451,393","7,499,950","7,601,319","7,674,751","7,617,367","7,628,204","7,721,211","7,708,863","7,792,393","7,651,426","7,739,618","7,834,384","7,879,688","7,807,289","7,798,782","7,780,964","7,843,690","7,893,841","8,072,614","7,829,732","7,752,244","7,938,837","7,824,127","7,841,624","8,050,555","8,452,300","8,226,087","8,416,089","8,376,956","8,411,966","8,428,907","8,347,854","8,672,941","8,359,265","8,600,483","8,652,561","8,641,442","8,766,093","8,745,743","8,809,495","8,892,327","8,731,033","8,763,897","8,993,906","9,067,670","8,878,619","9,210,720","8,992,020","8,783,332","8,998,532","8,860,044","9,071,777","9,332,862","9,446,833","9,254,132","9,741,866","9,443,880","9,456,324","9,687,805","9,425,653","9,461,960","9,805,238","9,604,483","9,642,559","7,425,832","8,285,015","9,475,453","9,881,833","9,682,965","9,892,035","9,883,781","9,905,418","9,789,647","9,638,136","9,997,574","10,215,915","10,257,784","10,230,342","10,452,011","10,420,442","10,466,367","10,820,371","10,929,006","11,387,218","11,830,294","12,187,577","11,469,109","11,245,413","11,352,408","11,419,670","10,994,811","10,670,108","10,832,615","11,265,809","11,514,345","11,379,856","11,380,063","11,828,783","11,789,734","11,932,772","11,773,206","11,606,619","11,546,092","11,632,676","11,580,906","11,365,910","11,395,631","11,620,718","11,830,620","12,060,676","12,015,455","12,132,034"
"Ttil, lotin n ootwr mrnt wolslrs  [4141]","977,443","965,487","920,450","929,929","962,534","909,754","893,015","916,928","949,061","954,795","1,004,983","954,114","927,555","984,978","981,351","973,284","994,711","972,843","937,025","890,035","918,778","923,226","900,777","964,782","963,462","958,112","997,694","975,885","964,334","961,113","907,403","913,133","913,207","910,926","887,210","1,017,732","1,272,798","1,109,335","1,156,190","1,131,733","1,094,468","1,112,401","1,156,277","1,284,207","1,057,255","1,128,476","1,164,863","1,182,056","1,185,604","1,220,596","1,180,032","1,134,045","1,057,251","1,168,654","1,271,397","1,255,732","1,280,616","1,260,228","1,130,102","1,082,196","1,172,558","1,169,779","1,183,322","1,267,466","1,304,267","1,361,559","1,627,861","1,349,570","1,293,405","1,192,871","1,244,157","1,169,111","1,561,751","1,314,970","929,444","450,337","788,801","899,938","979,957","1,072,166","1,173,702","1,146,348","1,182,600","1,145,208","1,074,970","1,028,909","1,117,187","1,187,722","1,179,792","1,198,741","1,168,052","1,194,421","1,252,824","1,397,185","1,442,165","1,491,862","1,367,892","1,211,925","1,407,843","1,677,069","1,693,507","1,473,805","1,352,865","1,355,245","1,414,606","1,457,337","1,396,429","1,544,106","1,651,909","1,662,374","1,749,453","1,638,211","1,542,407","1,441,629","1,538,609","1,461,901","1,280,658","1,335,292","1,341,822","1,323,245","1,544,571","1,488,379","1,481,566"
