"Date","Price","Open","High","Low","Vol.","Change %"
"2024-02-23","7,706.28","7,684.49","7,713.39","7,675.19","992.96M","0.28%"
"2024-02-22","7,684.49","7,662.51","7,702.86","7,651.65","1.32B","0.29%"
"2024-02-21","7,662.51","7,719.21","7,719.21","7,642.75","1.19B","-0.73%"
"2024-02-20","7,719.21","7,728.50","7,748.73","7,705.98","819.03M","-0.12%"
"2024-02-19","7,728.50","7,711.71","7,733.54","7,692.48","575.04M","0.22%"
"2024-02-16","7,711.71","7,597.53","7,720.72","7,597.53","996.23M","1.50%"
"2024-02-15","7,597.53","7,568.40","7,612.34","7,562.10","651.78M","0.38%"
"2024-02-14","7,568.40","7,512.28","7,590.13","7,512.28","1.14B","0.75%"
"2024-02-13","7,512.28","7,573.69","7,585.31","7,492.98","1.10B","-0.81%"
"2024-02-12","7,573.69","7,572.58","7,590.45","7,555.47","767.12M","0.01%"
"2024-02-09","7,572.58","7,595.48","7,608.74","7,557.35","1.03B","-0.30%"
"2024-02-08","7,595.48","7,628.75","7,653.40","7,593.57","650.74M","-0.44%"
"2024-02-07","7,628.75","7,681.01","7,694.90","7,626.23","920.83M","-0.68%"
"2024-02-06","7,681.01","7,612.86","7,693.60","7,612.86","1.44B","0.90%"
"2024-02-05","7,612.86","7,615.54","7,667.82","7,598.66","1.29B","-0.04%"
"2024-02-02","7,615.54","7,622.16","7,670.91","7,609.29","777.00M","-0.09%"
"2024-02-01","7,622.16","7,630.57","7,673.67","7,607.90","848.08M","-0.11%"
"2024-01-31","7,630.57","7,666.31","7,689.69","7,630.57","887.42M","-0.47%"
"2024-01-30","7,666.31","7,632.74","7,684.24","7,632.74","703.83M","0.44%"
"2024-01-29","7,632.74","7,635.09","7,664.92","7,630.76","597.18M","-0.03%"
"2024-01-26","7,635.09","7,529.73","7,651.75","7,529.69","985.33M","1.40%"
"2024-01-25","7,529.73","7,527.67","7,544.46","7,507.03","660.66M","0.03%"
"2024-01-24","7,527.67","7,485.73","7,538.89","7,485.73","810.48M","0.56%"
"2024-01-23","7,485.73","7,487.71","7,525.13","7,465.12","973.74M","-0.03%"
"2024-01-22","7,487.71","7,461.93","7,503.61","7,455.97","734.80M","0.35%"
"2024-01-19","7,461.93","7,459.09","7,521.05","7,450.86","1.13B","0.04%"
"2024-01-18","7,459.09","7,446.29","7,471.66","7,426.60","814.58M","0.17%"
"2024-01-17","7,446.29","7,558.34","7,558.34","7,404.08","769.96M","-1.48%"
"2024-01-16","7,558.34","7,594.91","7,594.91","7,538.85","1.09B","-0.48%"
"2024-01-15","7,594.91","7,624.93","7,637.79","7,578.33","692.82M","-0.39%"
"2024-01-12","7,624.93","7,576.59","7,655.19","7,576.59","738.50M","0.64%"
"2024-01-11","7,576.59","7,651.76","7,693.90","7,576.59","1.17B","-0.98%"
"2024-01-10","7,651.76","7,683.96","7,683.96","7,647.37","612.40M","-0.42%"
"2024-01-09","7,683.96","7,694.19","7,717.50","7,675.07","658.39M","-0.13%"
"2024-01-08","7,694.19","7,689.61","7,694.19","7,636.05","1.02B","0.06%"
"2024-01-05","7,689.61","7,723.07","7,723.07","7,642.86","610.45M","-0.43%"
"2024-01-04","7,723.07","7,682.33","7,728.17","7,678.84","925.46M","0.53%"
"2024-01-03","7,682.33","7,721.52","7,744.55","7,650.30","721.53M","-0.51%"
"2024-01-02","7,721.52","7,733.24","7,764.37","7,689.02","647.24M","-0.15%"
"2023-12-29","7,733.24","7,722.74","7,746.91","7,719.02","225.64M","0.14%"
"2023-12-28","7,722.74","7,724.95","7,745.99","7,708.74","316.82M","-0.03%"
"2023-12-27","7,724.95","7,697.51","7,759.74","7,697.51","409.46M","0.36%"
"2023-12-22","7,697.51","7,694.73","7,715.21","7,676.43","320.56M","0.04%"
"2023-12-21","7,694.73","7,715.68","7,715.68","7,668.41","562.95M","-0.27%"
"2023-12-20","7,715.68","7,638.03","7,762.88","7,637.93","875.63M","1.02%"
"2023-12-19","7,638.03","7,614.48","7,642.15","7,605.35","935.13M","0.31%"
"2023-12-18","7,614.48","7,576.36","7,630.57","7,557.24","661.07M","0.50%"
"2023-12-15","7,576.36","7,648.98","7,668.22","7,569.00","1.58B","-0.95%"
"2023-12-14","7,648.98","7,548.44","7,724.81","7,548.44","1.44B","1.33%"
"2023-12-13","7,548.44","7,542.77","7,584.88","7,542.68","888.29M","0.08%"
"2023-12-12","7,542.77","7,544.89","7,607.51","7,542.37","788.54M","-0.03%"
"2023-12-11","7,544.89","7,554.47","7,557.40","7,493.59","811.93M","-0.13%"
"2023-12-08","7,554.47","7,513.72","7,581.32","7,509.83","779.76M","0.54%"
"2023-12-07","7,513.72","7,515.38","7,523.57","7,480.49","789.53M","-0.02%"
"2023-12-06","7,515.38","7,489.84","7,542.57","7,486.80","1.42B","0.34%"
"2023-12-05","7,489.84","7,512.96","7,512.96","7,460.21","661.29M","-0.31%"
"2023-12-04","7,512.96","7,529.35","7,533.81","7,476.85","818.38M","-0.22%"
"2023-12-01","7,529.35","7,453.75","7,538.71","7,453.75","549.09M","1.01%"
"2023-11-30","7,453.75","7,423.46","7,497.68","7,387.09","1.27B","0.41%"
"2023-11-29","7,423.46","7,455.24","7,457.48","7,408.79","531.53M","-0.43%"
"2023-11-28","7,455.24","7,460.70","7,461.13","7,403.25","599.93M","-0.07%"
"2023-11-27","7,460.70","7,488.20","7,488.26","7,452.18","398.90M","-0.37%"
"2023-11-24","7,488.20","7,483.58","7,494.72","7,450.12","528.51M","0.06%"
"2023-11-23","7,483.58","7,469.51","7,494.77","7,450.60","607.42M","0.19%"
"2023-11-22","7,469.51","7,481.99","7,504.51","7,452.00","627.38M","-0.17%"
"2023-11-21","7,481.99","7,496.36","7,496.86","7,446.68","518.87M","-0.19%"
"2023-11-20","7,496.36","7,504.25","7,506.00","7,472.65","466.75M","-0.11%"
"2023-11-17","7,504.25","7,410.97","7,509.00","7,410.00","667.07M","1.26%"
"2023-11-16","7,410.97","7,486.91","7,492.84","7,409.40","750.61M","-1.01%"
"2023-11-15","7,486.91","7,440.47","7,533.77","7,440.47","738.50M","0.62%"
"2023-11-14","7,440.47","7,425.83","7,456.63","7,386.66","881.44M","0.20%"
"2023-11-13","7,425.83","7,360.55","7,426.14","7,360.55","648.85M","0.89%"
"2023-11-10","7,360.55","7,455.67","7,455.67","7,319.96","833.64M","-1.28%"
"2023-11-09","7,455.67","7,401.72","7,465.31","7,367.21","657.63M","0.73%"
"2023-11-08","7,401.72","7,410.04","7,442.09","7,384.51","686.12M","-0.11%"
"2023-11-07","7,410.04","7,417.76","7,431.14","7,397.40","592.27M","-0.10%"
"2023-11-06","7,417.76","7,417.73","7,448.36","7,403.51","711.28M","0.00%"
"2023-11-03","7,417.73","7,446.53","7,482.73","7,396.57","750.57M","-0.39%"
"2023-11-02","7,446.53","7,342.43","7,469.75","7,342.43","972.52M","1.42%"
"2023-11-01","7,342.43","7,321.72","7,385.39","7,304.89","726.06M","0.28%"
"2023-10-31","7,321.72","7,327.39","7,373.53","7,309.04","805.34M","-0.08%"
"2023-10-30","7,327.39","7,291.28","7,361.50","7,291.28","1.01B","0.50%"
"2023-10-27","7,291.28","7,354.57","7,380.33","7,279.86","642.46M","-0.86%"
"2023-10-26","7,354.57","7,414.34","7,414.34","7,342.48","792.37M","-0.81%"
"2023-10-25","7,414.34","7,389.70","7,428.11","7,368.38","607.64M","0.33%"
"2023-10-24","7,389.70","7,374.83","7,405.26","7,324.99","697.31M","0.20%"
"2023-10-23","7,374.83","7,402.14","7,402.20","7,338.59","502.73M","-0.37%"
"2023-10-20","7,402.14","7,499.53","7,499.62","7,395.57","832.45M","-1.30%"
"2023-10-19","7,499.53","7,588.00","7,588.00","7,490.46","727.00M","-1.17%"
"2023-10-18","7,588.00","7,675.21","7,681.50","7,579.26","613.43M","-1.14%"
"2023-10-17","7,675.21","7,630.63","7,682.63","7,616.77","663.55M","0.58%"
"2023-10-16","7,630.63","7,599.60","7,651.27","7,584.64","522.40M","0.41%"
"2023-10-13","7,599.60","7,644.78","7,660.05","7,590.72","567.09M","-0.59%"
"2023-10-12","7,644.78","7,620.03","7,687.91","7,620.03","657.76M","0.32%"
"2023-10-11","7,620.03","7,628.21","7,651.98","7,608.67","623.85M","-0.11%"
"2023-10-10","7,628.21","7,492.21","7,637.41","7,492.21","702.69M","1.82%"
"2023-10-09","7,492.21","7,494.58","7,540.57","7,473.19","737.06M","-0.03%"
"2023-10-06","7,494.58","7,451.54","7,496.42","7,423.36","611.66M","0.58%"
"2023-10-05","7,451.54","7,412.45","7,488.60","7,409.74","615.22M","0.53%"
"2023-10-04","7,412.45","7,470.16","7,490.18","7,384.20","1.08B","-0.77%"
"2023-10-03","7,470.16","7,510.72","7,545.67","7,466.62","534.75M","-0.54%"
"2023-10-02","7,510.72","7,608.08","7,630.41","7,491.30","570.11M","-1.28%"
"2023-09-29","7,608.08","7,601.85","7,674.19","7,601.85","633.59M","0.08%"
"2023-09-28","7,601.85","7,593.22","7,605.55","7,524.11","633.80M","0.11%"
"2023-09-27","7,593.22","7,625.72","7,645.55","7,577.23","711.17M","-0.43%"
"2023-09-26","7,625.72","7,623.99","7,656.94","7,593.54","545.49M","0.02%"
"2023-09-25","7,623.99","7,683.91","7,684.82","7,580.81","538.94M","-0.78%"
"2023-09-22","7,683.91","7,678.62","7,735.16","7,640.80","984.62M","0.07%"
"2023-09-21","7,678.62","7,731.65","7,746.53","7,674.70","1.00B","-0.69%"
"2023-09-20","7,731.65","7,660.20","7,741.90","7,659.61","805.82M","0.93%"
"2023-09-19","7,660.20","7,652.94","7,682.38","7,642.36","595.49M","0.09%"
"2023-09-18","7,652.94","7,711.38","7,720.14","7,641.76","461.13M","-0.76%"
"2023-09-15","7,711.38","7,673.08","7,745.82","7,673.08","1.80B","0.50%"
"2023-09-14","7,673.08","7,525.99","7,686.96","7,525.99","740.69M","1.95%"
"2023-09-13","7,525.99","7,527.53","7,545.16","7,490.37","684.59M","-0.02%"
"2023-09-12","7,527.53","7,496.87","7,550.24","7,496.34","661.20M","0.41%"
"2023-09-11","7,496.87","7,478.19","7,549.34","7,467.35","564.85M","0.25%"
"2023-09-08","7,478.19","7,441.72","7,480.64","7,402.10","651.30M","0.49%"
"2023-09-07","7,441.72","7,426.14","7,462.18","7,385.92","453.22M","0.21%"
"2023-09-06","7,426.14","7,437.93","7,447.94","7,369.64","448.10M","-0.16%"
"2023-09-05","7,437.93","7,452.76","7,481.35","7,389.80","484.03M","-0.20%"
"2023-09-04","7,452.76","7,464.54","7,523.40","7,448.31","391.51M","-0.16%"
"2023-09-01","7,464.54","7,439.13","7,492.63","7,439.13","680.28M","0.34%"
"2023-08-31","7,439.13","7,473.67","7,500.44","7,439.13","1.14B","-0.46%"
"2023-08-30","7,473.67","7,464.99","7,509.36","7,464.73","533.76M","0.12%"
"2023-08-29","7,464.99","7,338.58","7,471.14","7,338.58","1.11B","1.72%"
"2023-08-25","7,338.58","7,333.63","7,389.40","7,326.97","363.80M","0.07%"
"2023-08-24","7,333.63","7,320.53","7,386.08","7,320.53","377.23M","0.18%"
"2023-08-23","7,320.53","7,270.76","7,348.84","7,270.76","874.76M","0.68%"
"2023-08-22","7,270.76","7,257.82","7,310.52","7,257.58","745.82M","0.18%"
"2023-08-21","7,257.82","7,262.43","7,315.97","7,250.88","469.44M","-0.06%"
"2023-08-18","7,262.43","7,310.21","7,310.21","7,215.76","571.46M","-0.65%"
"2023-08-17","7,310.21","7,356.88","7,356.96","7,305.00","438.19M","-0.63%"
"2023-08-16","7,356.88","7,389.64","7,398.20","7,338.53","686.64M","-0.44%"
"2023-08-15","7,389.64","7,507.15","7,508.58","7,369.69","463.07M","-1.57%"
"2023-08-14","7,507.15","7,524.16","7,530.25","7,476.45","1.14B","-0.23%"
"2023-08-11","7,524.16","7,618.60","7,618.60","7,507.84","487.00M","-1.24%"
"2023-08-10","7,618.60","7,587.30","7,622.92","7,572.61","636.54M","0.41%"
"2023-08-09","7,587.30","7,527.42","7,600.79","7,527.42","788.32M","0.80%"
"2023-08-08","7,527.42","7,554.49","7,554.49","7,487.47","862.21M","-0.36%"
"2023-08-07","7,554.49","7,564.37","7,564.95","7,505.15","483.36M","-0.13%"
"2023-08-04","7,564.37","7,529.16","7,569.55","7,487.36","503.24M","0.47%"
"2023-08-03","7,529.16","7,561.63","7,562.13","7,437.88","1.24B","-0.43%"
"2023-08-02","7,561.63","7,666.27","7,666.27","7,522.24","745.64M","-1.36%"
"2023-08-01","7,666.27","7,699.41","7,715.24","7,650.15","556.25M","-0.43%"
"2023-07-31","7,699.41","7,694.27","7,722.92","7,667.81","593.69M","0.07%"
"2023-07-28","7,694.27","7,692.76","7,716.82","7,680.19","710.94M","0.02%"
"2023-07-27","7,692.76","7,676.89","7,709.66","7,662.40","963.65M","0.21%"
"2023-07-26","7,676.89","7,691.80","7,702.74","7,630.00","807.17M","-0.19%"
"2023-07-25","7,691.80","7,678.59","7,702.35","7,676.50","433.68M","0.17%"
"2023-07-24","7,678.59","7,663.73","7,684.97","7,633.29","521.47M","0.19%"
"2023-07-21","7,663.73","7,646.05","7,674.23","7,639.45","506.40M","0.23%"
"2023-07-20","7,646.05","7,588.20","7,661.87","7,585.85","631.30M","0.76%"
"2023-07-19","7,588.20","7,453.69","7,625.14","7,453.69","841.73M","1.80%"
"2023-07-18","7,453.69","7,406.42","7,459.15","7,398.53","464.63M","0.64%"
"2023-07-17","7,406.42","7,434.57","7,437.61","7,395.67","435.68M","-0.38%"
"2023-07-14","7,434.57","7,440.21","7,480.43","7,421.31","497.56M","-0.08%"
"2023-07-13","7,440.21","7,416.11","7,457.20","7,409.25","584.51M","0.32%"
"2023-07-12","7,416.11","7,282.52","7,425.10","7,282.52","994.05M","1.83%"
"2023-07-11","7,282.52","7,273.79","7,285.33","7,239.23","495.97M","0.12%"
"2023-07-10","7,273.79","7,256.94","7,306.09","7,238.72","428.03M","0.23%"
"2023-07-07","7,256.94","7,280.50","7,280.50","7,229.57","493.78M","-0.32%"
"2023-07-06","7,280.50","7,442.10","7,442.10","7,267.62","743.92M","-2.17%"
"2023-07-05","7,442.10","7,519.72","7,519.72","7,434.66","690.59M","-1.03%"
"2023-07-04","7,519.72","7,527.26","7,547.38","7,518.36","588.11M","-0.10%"
"2023-07-03","7,527.26","7,531.53","7,561.26","7,513.93","533.59M","-0.06%"
"2023-06-30","7,531.53","7,471.69","7,551.59","7,471.69","729.20M","0.80%"
"2023-06-29","7,471.69","7,500.49","7,505.61","7,460.53","607.91M","-0.38%"
"2023-06-28","7,500.49","7,461.46","7,518.33","7,461.46","639.84M","0.52%"
"2023-06-27","7,461.46","7,453.58","7,495.88","7,428.11","673.46M","0.11%"
"2023-06-26","7,453.58","7,461.87","7,476.45","7,401.18","850.08M","-0.11%"
"2023-06-23","7,461.87","7,502.03","7,502.03","7,439.72","620.87M","-0.54%"
"2023-06-22","7,502.03","7,559.18","7,559.18","7,458.35","654.66M","-0.76%"
"2023-06-21","7,559.18","7,569.31","7,577.60","7,520.92","610.36M","-0.13%"
"2023-06-20","7,569.31","7,588.48","7,607.53","7,566.33","580.00M","-0.25%"
"2023-06-19","7,588.48","7,642.72","7,642.72","7,581.84","437.65M","-0.71%"
"2023-06-16","7,642.72","7,628.26","7,687.61","7,627.83","2.01B","0.19%"
"2023-06-15","7,628.26","7,602.74","7,632.67","7,584.78","837.69M","0.34%"
"2023-06-14","7,602.74","7,594.78","7,639.79","7,579.27","677.23M","0.10%"
"2023-06-13","7,594.78","7,570.69","7,610.77","7,556.32","1.00B","0.32%"
"2023-06-12","7,570.69","7,562.36","7,599.87","7,556.81","538.22M","0.11%"
"2023-06-09","7,562.36","7,599.74","7,621.72","7,546.50","562.14M","-0.49%"
"2023-06-08","7,599.74","7,624.34","7,638.61","7,587.99","528.47M","-0.32%"
"2023-06-07","7,624.34","7,628.10","7,642.40","7,604.42","612.86M","-0.05%"
"2023-06-06","7,628.10","7,599.99","7,636.06","7,556.16","666.96M","0.37%"
"2023-06-05","7,599.99","7,607.28","7,654.84","7,594.13","548.34M","-0.10%"
"2023-06-02","7,607.28","7,490.27","7,614.89","7,490.02","632.69M","1.56%"
"2023-06-01","7,490.27","7,446.14","7,498.59","7,445.30","962.69M","0.59%"
"2023-05-31","7,446.14","7,522.07","7,522.07","7,446.14","2.28B","-1.01%"
"2023-05-30","7,522.07","7,627.20","7,628.12","7,516.52","837.72M","-1.38%"
"2023-05-26","7,627.20","7,570.87","7,643.56","7,556.92","687.53M","0.74%"
"2023-05-25","7,570.87","7,627.10","7,629.08","7,569.17","723.91M","-0.74%"
"2023-05-24","7,627.10","7,762.95","7,762.95","7,590.24","988.49M","-1.75%"
"2023-05-23","7,762.95","7,770.99","7,800.85","7,747.09","697.20M","-0.10%"
"2023-05-22","7,770.99","7,756.87","7,783.40","7,750.53","960.83M","0.18%"
"2023-05-19","7,756.87","7,742.30","7,790.92","7,742.13","631.10M","0.19%"
"2023-05-18","7,742.30","7,723.23","7,776.58","7,723.23","751.79M","0.25%"
"2023-05-17","7,723.23","7,751.08","7,758.15","7,713.03","665.41M","-0.36%"
"2023-05-16","7,751.08","7,777.70","7,804.93","7,741.29","1.08B","-0.34%"
"2023-05-15","7,777.70","7,754.62","7,794.89","7,754.62","731.05M","0.30%"
"2023-05-12","7,754.62","7,730.58","7,772.79","7,729.01","744.75M","0.31%"
"2023-05-11","7,730.58","7,741.33","7,784.28","7,679.61","883.22M","-0.14%"
"2023-05-10","7,741.33","7,764.09","7,778.98","7,727.12","711.30M","-0.29%"
