"Date","Price","Open","High","Low","Vol.","Change %"
"2024-02-23","21,413.15","21,314.63","21,440.41","21,274.41","221.39M","0.45%"
"2024-02-22","21,318.08","21,259.99","21,365.35","21,259.99","228.94M","0.69%"
"2024-02-21","21,172.38","21,177.69","21,197.40","21,100.67","205.21M","-0.21%"
"2024-02-20","21,217.53","21,216.17","21,288.34","21,183.54","238.68M","-0.18%"
"2024-02-16","21,255.61","21,206.39","21,323.98","21,197.25","195.64M","0.16%"
"2024-02-15","21,222.69","20,919.86","21,236.17","20,919.86","232.05M","1.60%"
"2024-02-14","20,889.40","20,664.72","20,890.11","20,664.72","199.37M","1.48%"
"2024-02-13","20,584.97","20,861.50","20,861.50","20,466.50","236.18M","-2.29%"
"2024-02-12","21,067.30","21,011.93","21,145.82","21,011.93","188.52M","0.27%"
"2024-02-09","21,009.60","20,942.45","21,028.35","20,891.13","155.28M","0.43%"
"2024-02-08","20,919.64","20,926.89","20,989.83","20,794.59","195.80M","-0.24%"
"2024-02-07","20,969.18","20,961.59","20,990.69","20,900.94","160.63M","0.05%"
"2024-02-06","20,957.74","20,876.77","20,978.88","20,869.60","151.66M","0.41%"
"2024-02-05","20,871.89","21,053.51","21,053.51","20,825.62","199.40M","-1.01%"
"2024-02-02","21,085.09","21,128.09","21,128.09","20,943.08","181.11M","-0.16%"
"2024-02-01","21,119.21","21,065.45","21,189.26","20,980.93","186.25M","0.46%"
"2024-01-31","21,021.88","21,204.87","21,250.90","21,014.17","222.24M","-0.97%"
"2024-01-30","21,227.87","21,187.85","21,250.47","21,104.04","167.59M","0.13%"
"2024-01-29","21,200.06","21,106.39","21,213.02","21,014.98","188.33M","0.35%"
"2024-01-26","21,125.28","21,084.98","21,142.31","21,079.90","150.91M","0.11%"
"2024-01-25","21,101.54","21,058.81","21,120.70","21,021.82","177.38M","0.36%"
"2024-01-24","21,025.78","21,083.56","21,161.22","21,019.37","221.08M","-0.04%"
"2024-01-23","21,034.59","20,939.55","21,042.85","20,939.55","173.52M","0.53%"
"2024-01-22","20,924.30","20,930.93","20,975.28","20,847.14","193.40M","0.09%"
"2024-01-19","20,906.52","20,763.20","20,909.13","20,676.51","208.80M","0.72%"
"2024-01-18","20,756.73","20,725.88","20,782.26","20,659.03","192.48M","0.30%"
"2024-01-17","20,695.02","20,847.63","20,847.63","20,594.20","211.74M","-1.21%"
